rank,pct,cosine,name,type,node_id
1,2.7027027027027026,-0.08573907613754272,"2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one",drug,19315
2,5.405405405405405,-0.09399233758449554,Fedratinib,drug,15250
3,8.108108108108109,-0.11331437528133392,Cambinol,drug,19378
4,10.81081081081081,-0.13418205082416534,Fostamatinib,drug,15674
5,13.513513513513514,-0.13855209946632385,Myricetin,drug,18870
6,16.216216216216218,-0.14536234736442566,Ruxolitinib,drug,15597
7,18.91891891891892,-0.15613101422786713,Tofacitinib,drug,14407
8,21.62162162162162,-0.16219443082809448,4-(3-amino-1H-indazol-5-yl)-N-tert-butylbenzenesulfonamide,drug,19318
9,24.324324324324323,-0.16297242045402527,Polaprezinc,drug,14734
10,27.027027027027028,-0.16544580459594727,Sarilumab,drug,15662
11,29.72972972972973,-0.16780659556388855,Upadacitinib,drug,15269
12,32.432432432432435,-0.17387768626213074,4-[(2-{4-[(CYCLOPROPYLCARBAMOYL)AMINO]-1H-PYRAZOL-3-YL}-1H-BENZIMIDAZOL-6-YL)METHYL]MORPHOLIN-4-IUM,drug,19319
13,35.13513513513514,-0.17406734824180603,Filgotinib,drug,15768
14,37.83783783783784,-0.19042029976844788,3-Fluoro-L-tyrosine,drug,20041
15,40.54054054054054,-0.19852295517921448,Mangafodipir,drug,14389
16,43.24324324324324,-0.1987607479095459,Tocilizumab,drug,15563
17,45.945945945945944,-0.1992020606994629,XL019,drug,19316
18,48.648648648648646,-0.20647361874580383,Baricitinib,drug,15666
19,51.351351351351354,-0.20753204822540283,Entrectinib,drug,15673
20,54.054054054054056,-0.2107030153274536,Zanubrutinib,drug,15748
21,56.75675675675676,-0.2208201289176941,Reversine,drug,19563
22,59.45945945945946,-0.2392258644104004,Hesperidin,drug,19562
23,62.16216216216216,-0.23977074027061462,Sirolimus,drug,14975
24,64.86486486486487,-0.2422505021095276,Temsirolimus,drug,15012
25,67.56756756756756,-0.2445090264081955,5-phenyl-1H-indazol-3-amine,drug,19317
26,70.27027027027027,-0.2546811103820801,XL765,drug,18872
27,72.97297297297297,-0.2548461854457855,SF1126,drug,18180
28,75.67567567567568,-0.26664382219314575,Ridaforolimus,drug,15560
29,78.37837837837837,-0.2757229506969452,BOS172722,drug,19866
30,81.08108108108108,-0.28901785612106323,Enzastaurin,drug,17210
31,83.78378378378379,-0.2940498888492584,Everolimus,drug,15176
32,86.48648648648648,-0.33630895614624023,Rimiducid,drug,19307
33,89.1891891891892,-0.3565412163734436,AT9283,drug,18264
34,91.89189189189189,-0.3594662547111511,Pyrazolanthrone,drug,18593
35,94.5945945945946,-0.36499685049057007,Thimerosal,drug,14444
36,97.29729729729729,-0.37492305040359497,Benzylsulfonic acid,drug,18407
37,100.0,-0.3832591474056244,Pimecrolimus,drug,15432
