rank,pct,cosine,name,type,node_id
1,3.225806451612903,-0.08252569288015366,Fostamatinib,drug,15674
2,6.451612903225806,-0.10730792582035065,Ruxolitinib,drug,15597
3,9.67741935483871,-0.12468152493238449,Sarilumab,drug,15662
4,12.903225806451612,-0.14102472364902496,Tocilizumab,drug,15563
5,16.129032258064516,-0.16874396800994873,Tofacitinib,drug,14407
6,19.35483870967742,-0.1758415400981903,Myricetin,drug,18870
7,22.580645161290324,-0.17647036910057068,Sirolimus,drug,14975
8,25.806451612903224,-0.1797783523797989,Filgotinib,drug,15768
9,29.032258064516128,-0.1925639808177948,4-(3-amino-1H-indazol-5-yl)-N-tert-butylbenzenesulfonamide,drug,19318
10,32.25806451612903,-0.20506122708320618,Cambinol,drug,19378
11,35.483870967741936,-0.21149733662605286,Upadacitinib,drug,15269
12,38.70967741935484,-0.2147521674633026,Fedratinib,drug,15250
13,41.935483870967744,-0.21730180084705353,5-phenyl-1H-indazol-3-amine,drug,19317
14,45.16129032258065,-0.22300899028778076,Baricitinib,drug,15666
15,48.38709677419355,-0.239480659365654,"2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one",drug,19315
16,51.61290322580645,-0.24639110267162323,Entrectinib,drug,15673
17,54.83870967741935,-0.25518301129341125,4-[(2-{4-[(CYCLOPROPYLCARBAMOYL)AMINO]-1H-PYRAZOL-3-YL}-1H-BENZIMIDAZOL-6-YL)METHYL]MORPHOLIN-4-IUM,drug,19319
18,58.064516129032256,-0.26129770278930664,Mangafodipir,drug,14389
19,61.29032258064516,-0.2633801996707916,XL019,drug,19316
20,64.51612903225806,-0.26703745126724243,Zanubrutinib,drug,15748
21,67.74193548387096,-0.2729492783546448,Polaprezinc,drug,14734
22,70.96774193548387,-0.2749568819999695,Everolimus,drug,15176
23,74.19354838709677,-0.2799490690231323,SF1126,drug,18180
24,77.41935483870968,-0.2842637002468109,Ridaforolimus,drug,15560
25,80.64516129032258,-0.3012400269508362,Rimiducid,drug,19307
26,83.87096774193549,-0.307760626077652,3-Fluoro-L-tyrosine,drug,20041
27,87.09677419354838,-0.316342294216156,Temsirolimus,drug,15012
28,90.3225806451613,-0.3339368999004364,XL765,drug,18872
29,93.54838709677419,-0.35008805990219116,Thimerosal,drug,14444
30,96.7741935483871,-0.35648101568222046,Pimecrolimus,drug,15432
31,100.0,-0.35873091220855713,Benzylsulfonic acid,drug,18407
