gene,ensembl_id,drug_id,drug_name,disease_id,disease_name,phase,mechanism_of_action
NFE2L2,ENSG00000116044,CHEMBL1762621,BARDOXOLONE METHYL,MONDO_0005854;MONDO_0015924;MONDO_0005149;MONDO_0005016;MONDO_0005300;MONDO_0004691;MONDO_0018965;MONDO_0005105;MONDO_0005016;MONDO_0005148;MONDO_0005148;MONDO_0005300;MONDO_0015924;MONDO_0005342;MONDO_0100313;MONDO_0100096;MONDO_0005154;MONDO_0005157;MONDO_0005070;MONDO_0005192;HP_0001513,mixed connective tissue disease;pulmonary arterial hypertension;pulmonary hypertension;diabetic kidney disease;chronic kidney disease;autosomal dominant polycystic kidney disease;Alport syndrome;melanoma;diabetic kidney disease;type 2 diabetes mellitus;type 2 diabetes mellitus;chronic kidney disease;pulmonary arterial hypertension;IgA glomerulonephritis;focal segmental glomerulosclerosis;COVID-19;liver disorder;lymphoid neoplasm;neoplasm;exocrine pancreatic carcinoma;Obesity,PHASE_3,
NFE2L2,ENSG00000116044,CHEMBL4303525,OMAVELOXOLONE,MONDO_0100339;MONDO_0100339;MONDO_0005233;HP_0200026;Orphanet_206966;MONDO_0005105;MONDO_0005105;MONDO_0002025;HP_0002015,Friedreich ataxia;Friedreich ataxia;non-small cell lung carcinoma;Ocular pain;Mitochondrial myopathy;melanoma;melanoma;psychiatric disorder;Dysphagia,APPROVAL,
TMEM173,ENSG00000184584,CHEMBL4297688,ADU-S100,MONDO_0005627;MONDO_0010150;MONDO_0005062,head and neck cancer;head and neck squamous cell carcinoma;lymphoma,PHASE_2,
MTOR,ENSG00000198793,CHEMBL75880,PERHEXILINE,MONDO_0004995;EFO_0003913;EFO_0003896;MONDO_0005045;MONDO_0005252;MONDO_0005015,cardiovascular disorder;angina pectoris;left ventricular hypertrophy;hypertrophic cardiomyopathy;heart failure;diabetes mellitus,APPROVAL,
MTOR,ENSG00000198793,CHEMBL3545248,DS-7423,MONDO_0005575;MONDO_0011962,colorectal cancer;endometrial cancer,PHASE_1,
MTOR,ENSG00000198793,CHEMBL3586573,CC-115,MONDO_0018177;MONDO_0009693;MONDO_0018908;MONDO_0004948;MONDO_0004948;MONDO_0008315,glioblastoma;plasma cell myeloma;non-Hodgkin lymphoma;B-cell chronic lymphocytic leukemia;B-cell chronic lymphocytic leukemia;prostate cancer,PHASE_2,
MTOR,ENSG00000198793,CHEMBL592445,GEDATOLISIB,MONDO_0007254;MONDO_0011962;MONDO_0005575;MONDO_0018881;MONDO_0005170;MONDO_0018874;MONDO_0004992;MONDO_0002447;MONDO_0024331;MONDO_0005233;MONDO_0005494;MONDO_0008315;MONDO_0004992;MONDO_0008170;MONDO_0018177;MONDO_0005206;MONDO_0009831;MONDO_0005233;MONDO_0005494;MONDO_0005627;MONDO_0008433;MONDO_0005097;MONDO_0005192;MONDO_0005070,breast cancer;endometrial cancer;colorectal cancer;myelodysplastic syndrome;myeloid neoplasm;acute myeloid leukemia;cancer;endometrial carcinoma;colorectal carcinoma;non-small cell lung carcinoma;triple-negative breast carcinoma;prostate cancer;cancer;ovarian cancer;glioblastoma;renal carcinoma;malignant pancreatic neoplasm;non-small cell lung carcinoma;triple-negative breast carcinoma;head and neck cancer;small cell lung carcinoma;squamous cell lung carcinoma;exocrine pancreatic carcinoma;neoplasm,PHASE_3,
MTOR,ENSG00000198793,CHEMBL5095025,PANULISIB,,,PHASE_1,
MTOR,ENSG00000198793,CHEMBL1801204,AZD-8055,MONDO_0005070;MONDO_0007256;MONDO_0005062;MONDO_0100342;MONDO_0021042,neoplasm;hepatocellular carcinoma;lymphoma;malignant glioma;glioma,PHASE_1_2,
MTOR,ENSG00000198793,CHEMBL3545096,BGT-226,MONDO_0007254,breast cancer,PHASE_1_2,
