mean_rank,mean_cosine,n_seeds,name,type
2.3333333333333335,-0.06693017296493053,3,Fedratinib,drug
5.666666666666667,-0.100626806418101,3,Fostamatinib,drug
6.666666666666667,-0.12580748026569685,3,Tofacitinib,drug
6.666666666666667,-0.1108413003385067,3,Upadacitinib,drug
7.666666666666667,-0.12376947080095609,3,Filgotinib,drug
8.333333333333334,-0.15619360903898874,3,Ruxolitinib,drug
9.0,-0.12501552452643713,3,Baricitinib,drug
9.0,-0.16400369008382162,3,Myricetin,drug
9.0,-0.1517908771832784,3,"2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one",drug
11.0,-0.1711516628662745,3,Cambinol,drug
13.666666666666666,-0.18877804279327393,3,Mangafodipir,drug
14.666666666666666,-0.19330072899659476,3,XL019,drug
15.666666666666666,-0.2069906344016393,3,Sarilumab,drug
16.0,-0.20587505400180817,3,3-Fluoro-L-tyrosine,drug
18.333333333333332,-0.21802933514118195,3,Polaprezinc,drug
19.333333333333332,-0.2178750435511271,3,Reversine,drug
20.0,-0.22226047019163767,3,4-[(2-{4-[(CYCLOPROPYLCARBAMOYL)AMINO]-1H-PYRAZOL-3-YL}-1H-BENZIMIDAZOL-6-YL)METHYL]MORPHOLIN-4-IUM,drug
20.666666666666668,-0.1956631209080418,3,BOS172722,drug
21.0,-0.22639811038970947,3,XL765,drug
21.333333333333332,-0.23473548889160156,3,Temsirolimus,drug
21.666666666666668,-0.2524397124846776,3,Entrectinib,drug
22.0,-0.24157692988713583,3,Sirolimus,drug
22.666666666666668,-0.2513151516517003,3,Pyrazolanthrone,drug
22.666666666666668,-0.26849015553792316,3,4-(3-amino-1H-indazol-5-yl)-N-tert-butylbenzenesulfonamide,drug
23.333333333333332,-0.256518413623174,3,Tocilizumab,drug
24.0,-0.24770099918047586,3,SF1126,drug
25.0,-0.27569251755873364,3,Thimerosal,drug
25.666666666666668,-0.27046393354733783,3,Ridaforolimus,drug
26.666666666666668,-0.273532509803772,3,Hesperidin,drug
27.0,-0.2915867120027542,3,Benzylsulfonic acid,drug
27.666666666666668,-0.2759780287742615,3,Everolimus,drug
28.333333333333332,-0.27882816394170123,3,Zanubrutinib,drug
28.666666666666668,-0.30336837967236835,3,Pimecrolimus,drug
29.0,-0.30965057015419006,3,5-phenyl-1H-indazol-3-amine,drug
29.333333333333332,-0.30290507276852924,3,Rimiducid,drug
29.333333333333332,-0.29832489291826886,3,AT9283,drug
34.0,-0.35958072543144226,3,Enzastaurin,drug
