rank,pct,cosine,name,type,node_id
1,2.7027027027027026,0.01892063021659851,Fostamatinib,drug,15674
2,5.405405405405405,-0.011429567821323872,BOS172722,drug,19866
3,8.108108108108109,-0.02692565694451332,Upadacitinib,drug,15269
4,10.81081081081081,-0.1041802316904068,Fedratinib,drug,15250
5,13.513513513513514,-0.10436566174030304,Baricitinib,drug,15666
6,16.216216216216218,-0.1181352287530899,Pyrazolanthrone,drug,18593
7,18.91891891891892,-0.14757603406906128,Mangafodipir,drug,14389
8,21.62162162162162,-0.15205344557762146,Filgotinib,drug,15768
9,24.324324324324323,-0.15210360288619995,"2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one",drug,19315
10,27.027027027027028,-0.17184607684612274,Tofacitinib,drug,14407
11,29.72972972972973,-0.17287462949752808,XL765,drug,18872
12,32.432432432432435,-0.17486560344696045,Ruxolitinib,drug,15597
13,35.13513513513514,-0.175555020570755,XL019,drug,19316
14,37.83783783783784,-0.1928439438343048,Ridaforolimus,drug,15560
15,40.54054054054054,-0.20738577842712402,Pimecrolimus,drug,15432
16,43.24324324324324,-0.21136373281478882,SF1126,drug,18180
17,45.945945945945944,-0.21819493174552917,Myricetin,drug,18870
18,48.648648648648646,-0.22199998795986176,Thimerosal,drug,14444
19,51.351351351351354,-0.2226639688014984,Temsirolimus,drug,15012
20,54.054054054054056,-0.23002305626869202,Everolimus,drug,15176
21,56.75675675675676,-0.23339509963989258,Cambinol,drug,19378
22,59.45945945945946,-0.23995289206504822,Sarilumab,drug,15662
23,62.16216216216216,-0.2433754801750183,4-(3-amino-1H-indazol-5-yl)-N-tert-butylbenzenesulfonamide,drug,19318
24,64.86486486486487,-0.2447623610496521,4-[(2-{4-[(CYCLOPROPYLCARBAMOYL)AMINO]-1H-PYRAZOL-3-YL}-1H-BENZIMIDAZOL-6-YL)METHYL]MORPHOLIN-4-IUM,drug,19319
25,67.56756756756756,-0.2605052590370178,AT9283,drug,18264
26,70.27027027027027,-0.2633132338523865,3-Fluoro-L-tyrosine,drug,20041
27,72.97297297297297,-0.2639094293117523,Reversine,drug,19563
28,75.67567567567568,-0.27175211906433105,Polaprezinc,drug,14734
29,78.37837837837837,-0.28344228863716125,Benzylsulfonic acid,drug,18407
30,81.08108108108108,-0.2879803776741028,Sirolimus,drug,14975
31,83.78378378378379,-0.3137035369873047,Hesperidin,drug,19562
32,86.48648648648648,-0.315321683883667,Zanubrutinib,drug,15748
33,89.1891891891892,-0.32999950647354126,Rimiducid,drug,19307
34,91.89189189189189,-0.3367953896522522,Tocilizumab,drug,15563
35,94.5945945945946,-0.3776850700378418,Entrectinib,drug,15673
36,97.29729729729729,-0.4038555920124054,Enzastaurin,drug,17210
37,100.0,-0.4357544183731079,5-phenyl-1H-indazol-3-amine,drug,19317
