gene,uniprot,target_chembl_id,target_name,molecule_chembl_id,drug_name,max_phase,mechanism_of_action
MTOR,P42345,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL3545097,SAPANISERTIB,2.0,Serine/threonine-protein kinase mTOR inhibitor
MTOR,P42345,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL1801204,AZD-8055,1.0,Serine/threonine-protein kinase mTOR inhibitor
MTOR,P42345,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL3586573,CC-115,2.0,Serine/threonine-protein kinase mTOR inhibitor
MTOR,P42345,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL3544963,DS-3078A,1.0,Serine/threonine-protein kinase mTOR inhibitor
MTOR,P42345,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL3545248,DS-7423,1.0,Serine/threonine-protein kinase mTOR inhibitor
MTOR,P42345,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL1236962,OMIPALISIB,2.0,Serine/threonine-protein kinase mTOR inhibitor
MTOR,P42345,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL5095025,PANULISIB,2.0,Serine/threonine-protein kinase mTOR inhibitor
MTOR,P42345,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL2141712,PALOMID-529,1.0,Serine/threonine-protein kinase mTOR inhibitor
MTOR,P42345,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL1258517,PKI-179,1.0,Serine/threonine-protein kinase mTOR inhibitor
MTOR,P42345,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL3545323,PWT-33579,1.0,Serine/threonine-protein kinase mTOR inhibitor
MTOR,P42345,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL3545006,PWT-33587,1.0,Serine/threonine-protein kinase mTOR inhibitor
MTOR,P42345,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL2331680,RG-7603,1.0,Serine/threonine-protein kinase mTOR inhibitor
MTOR,P42345,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL2326966,SF-1126,2.0,Serine/threonine-protein kinase mTOR inhibitor
MTOR,P42345,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL3393066,VS-5584,1.0,Serine/threonine-protein kinase mTOR inhibitor
MTOR,P42345,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL1879463,DACTOLISIB,3.0,Serine/threonine-protein kinase mTOR inhibitor
MTOR,P42345,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL3545096,BGT-226,2.0,Serine/threonine-protein kinase mTOR inhibitor
MTOR,P42345,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL3586404,ONATASERTIB,2.0,Serine/threonine-protein kinase mTOR inhibitor
MTOR,P42345,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL3120215,OSI-027,2.0,Serine/threonine-protein kinase mTOR inhibitor
MTOR,P42345,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL1234354,PF-04691502,2.0,Serine/threonine-protein kinase mTOR inhibitor
MTOR,P42345,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL592445,GEDATOLISIB,3.0,Serine/threonine-protein kinase mTOR inhibitor
MTOR,P42345,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL1922094,APITOLISIB,2.0,Serine/threonine-protein kinase mTOR inhibitor
MTOR,P42345,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL3545366,VOXTALISIB,2.0,Serine/threonine-protein kinase mTOR inhibitor
MTOR,P42345,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL4297181,SAMOTOLISIB,2.0,Serine/threonine-protein kinase mTOR inhibitor
MTOR,P42345,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL2103839,RIDAFOROLIMUS,3.0,Serine/threonine-protein kinase mTOR inhibitor
MTOR,P42345,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL1334033,PERHEXILINE MALEATE,4.0,Serine/threonine-protein kinase mTOR inhibitor
MTOR,P42345,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL2336325,VISTUSERTIB,2.0,Serine/threonine-protein kinase mTOR inhibitor
FKBP1A,P62942,CHEMBL1902,Peptidyl-prolyl cis-trans isomerase FKBP1A,CHEMBL1201182,TEMSIROLIMUS,4.0,FK506-binding protein 1A inhibitor
FKBP1A,P62942,CHEMBL1902,Peptidyl-prolyl cis-trans isomerase FKBP1A,CHEMBL413,SIROLIMUS,4.0,FK506-binding protein 1A inhibitor
FKBP1A,P62942,CHEMBL1902,Peptidyl-prolyl cis-trans isomerase FKBP1A,CHEMBL1908360,EVEROLIMUS,4.0,FK506-binding protein 1A inhibitor
FKBP1A,P62942,CHEMBL1902,Peptidyl-prolyl cis-trans isomerase FKBP1A,CHEMBL1200686,PIMECROLIMUS,4.0,FK506-binding protein 1A inhibitor
FKBP1A,P62942,CHEMBL1902,Peptidyl-prolyl cis-trans isomerase FKBP1A,CHEMBL3989887,TACROLIMUS,4.0,FK506-binding protein 1A inhibitor
FKBP1A,P62942,CHEMBL1902,Peptidyl-prolyl cis-trans isomerase FKBP1A,CHEMBL3545142,OLOCROLIMUS,1.0,FK506-binding protein 1A inhibitor
FKBP1A,P62942,CHEMBL1902,Peptidyl-prolyl cis-trans isomerase FKBP1A,CHEMBL219410,ZOTAROLIMUS,3.0,FK506-binding protein 1A inhibitor
NFE2L2,Q16236,CHEMBL1075094,Nuclear factor erythroid 2-related factor 2,CHEMBL4303525,OMAVELOXOLONE,4.0,Nuclear factor erythroid 2-related factor 2 activator
TMEM173,Q86WV6,CHEMBL4523377,Stimulator of interferon genes protein,CHEMBL4297688,ADU-S100,2.0,Stimulator of interferon genes protein agonist
JAK1,P23458,CHEMBL2835,Tyrosine-protein kinase JAK1,CHEMBL1795071,RUXOLITINIB PHOSPHATE,4.0,Tyrosine-protein kinase JAK1 inhibitor
JAK1,P23458,CHEMBL2835,Tyrosine-protein kinase JAK1,CHEMBL4116008,CERDULATINIB,2.0,Tyrosine-protein kinase JAK1 inhibitor
JAK1,P23458,CHEMBL2835,Tyrosine-protein kinase JAK1,CHEMBL3545249,GLPG-0555,1.0,Tyrosine-protein kinase JAK1 inhibitor
JAK1,P23458,CHEMBL2835,Tyrosine-protein kinase JAK1,CHEMBL3655081,ABROCITINIB,4.0,Tyrosine-protein kinase JAK1 inhibitor
JAK1,P23458,CHEMBL2835,Tyrosine-protein kinase JAK1,CHEMBL2106468,TRICETAMIDE,1.0,Tyrosine-protein kinase JAK1 inhibitor
JAK1,P23458,CHEMBL2835,Tyrosine-protein kinase JAK1,CHEMBL3301607,FILGOTINIB,4.0,Tyrosine-protein kinase JAK1 inhibitor
JAK1,P23458,CHEMBL2835,Tyrosine-protein kinase JAK1,CHEMBL3301606,SOLCITINIB,2.0,Tyrosine-protein kinase JAK1 inhibitor
JAK1,P23458,CHEMBL2835,Tyrosine-protein kinase JAK1,CHEMBL3622820,ITACITINIB,3.0,Tyrosine-protein kinase JAK1 inhibitor
JAK1,P23458,CHEMBL2835,Tyrosine-protein kinase JAK1,CHEMBL3545225,INCB-047986,2.0,Tyrosine-protein kinase JAK1 inhibitor
JAK1,P23458,CHEMBL2835,Tyrosine-protein kinase JAK1,CHEMBL1078178,MOMELOTINIB,4.0,Tyrosine-protein kinase JAK1 inhibitor
JAK1,P23458,CHEMBL2835,Tyrosine-protein kinase JAK1,CHEMBL2105759,BARICITINIB,4.0,Tyrosine-protein kinase JAK1 inhibitor
