"geo_accession","sample","condition","tissue","age","genotype","group"
"GSM3968592","X10mo_skM_WT_1","WT","gastrocnemius muscle","8-10 months","WT","control"
"GSM3968593","X10mo_skM_WT_2","WT","gastrocnemius muscle","8-10 months","WT","control"
"GSM3968594","X10mo_skM_WT_3","WT","gastrocnemius muscle","8-10 months","WT","control"
"GSM3968595","X10mo_skM_WT_4","WT","gastrocnemius muscle","8-10 months","WT","control"
"GSM3968596","X10mo_skM_HL1002P_1","HL1002P","gastrocnemius muscle","8-10 months","HL1002P","case"
"GSM3968597","X10mo_skM_HL1002P_2","HL1002P","gastrocnemius muscle","8-10 months","HL1002P","case"
"GSM3968598","X10mo_skM_HL1002P_3","HL1002P","gastrocnemius muscle","8-10 months","HL1002P","case"
"GSM3968599","X10mo_skM_HL1002P_4","HL1002P","gastrocnemius muscle","8-10 months","HL1002P","case"
"GSM3968600","X10mo_skM_HH_1","HH","gastrocnemius muscle","8-10 months","HH","case"
"GSM3968601","X10mo_skM_HH_2","HH","gastrocnemius muscle","8-10 months","HH","case"
"GSM3968602","X10mo_skM_HH_3","HH","gastrocnemius muscle","8-10 months","HH","case"
"GSM3968603","X10mo_fat_WT_1","WT","fat (IAT)","8-10 months","WT","control"
"GSM3968604","X10mo_fat_WT_2","WT","fat (IAT)","8-10 months","WT","control"
"GSM3968605","X10mo_fat_WT_3","WT","fat (IAT)","8-10 months","WT","control"
"GSM3968606","X10mo_fat_WT_4","WT","fat (IAT)","8-10 months","WT","control"
"GSM3968607","X10mo_fat_HL1002P_1","HL1002P","fat (IAT)","8-10 months","HL1002P","case"
"GSM3968608","X10mo_fat_HL1002P_2","HL1002P","fat (IAT)","8-10 months","HL1002P","case"
"GSM3968609","X10mo_fat_HL1002P_3","HL1002P","fat (IAT)","8-10 months","HL1002P","case"
"GSM3968610","X10mo_fat_HL1002P_4","HL1002P","fat (IAT)","8-10 months","HL1002P","case"
"GSM3968611","X10mo_fat_HH_1","HH","fat (IAT)","8-10 months","HH","case"
"GSM3968612","X10mo_fat_HH_2","HH","fat (IAT)","8-10 months","HH","case"
"GSM3968613","X10mo_fat_HH_3","HH","fat (IAT)","8-10 months","HH","case"
"GSM3968614","X10mo_fat_HH_4","HH","fat (IAT)","8-10 months","HH","case"
