"geo_accession","sample","condition","tissue","source","group"
"GSM552693","LCL.proband.1","case","LCL","LCL","case"
"GSM552694","LCL.proband.2","case","LCL","LCL","case"
"GSM552695","Fibro.proband.1","case","fibroblast","fibroblast","case"
"GSM552696","Fibro.proband.2","case","fibroblast","fibroblast","case"
"GSM552697","LCL.control1.1","control","LCL","LCL","control"
"GSM552698","LCL.control1.2","control","LCL","LCL","control"
"GSM552699","Fibro.control2.1","control","fibroblast","fibroblast","control"
"GSM552700","Fibro.control2.2","control","fibroblast","fibroblast","control"
"GSM552701","LCL.control3.1","control","LCL","LCL","control"
"GSM552702","LCL.control3.2","control","LCL","LCL","control"
"GSM552703","LCL.relative1.1","carrier","LCL","LCL","carrier"
"GSM552704","LCL.relative1.2","carrier","LCL","LCL","carrier"
"GSM552705","LCL.relative2.1","carrier","LCL","LCL","carrier"
"GSM552706","LCL.relative2.2","carrier","LCL","LCL","carrier"
