drug,pert_id,cell_line,dose,time,score,deg_count,pubchem_id,drugbank_id,up_dn_overlap,dn_up_overlap
-666,BRD-A62809825,HT29,10.0,24.0,0.0775,512,5353993,,"ATAD2,FAM111A,PARP1,POLD1,VCAM1","CDKN1A,CREB3L2,GJA1,IRS2,LAMB3,NDEL1,SLC1A4"
DL-PDMP,BRD-K05653692,HT29,64.0,24.0,0.0775,508,16219895,,"ATAD2,CDT1,FAM111A,PARP1,POLD1","CDKN1A,CREB3L2,IRS2,LAMB3,MICAL2,SLC1A4"
CAY10594,BRD-K61662457,HT29,20.0,24.0,0.0775,476,56588033,,"ATAD2,CDT1,FAM111A,PARP1,POLD1","CDKN1A,CREB3L2,IRS2,MICAL2,NDEL1,SLC1A4,SORBS2"
THAPSIGARGIN,BRD-K69023402,HT29,10.0,24.0,0.0704,361,446378,,"ATAD2,BAZ1A,CDT1,FAM111A,POLD1","CDKN1A,CREB3L2,IRS2,PRSS23,SLC1A4,SORBS2"
PERHEXILINE MALEATE,BRD-A19633847,HT29,10.0,24.0,0.0704,426,5284439,,"ATAD2,FAM111A,ITGA4,PARP1","CDKN1A,CREB3L2,IRS2,LAMB3,NDEL1,PRSS23"
C8273,BRD-K25504083,MCF7,10.0,24.0,0.0704,340,44634700,,"ATAD2,VCAM1","ANXA3,CDKN1A,KIDINS220,LAMB3,MICAL2,NEDD4L,PALLD,PDGFA,WLS"
wortmannin,BRD-A75409952,PC3,10.0,24.0,0.0634,340,5691,,"ATAD2,CDT1","CDKN1A,GJA1,IRS2,LAMB3,MAP7,PRSS23,TSC22D1"
PERHEXILINE MALEATE,BRD-A19633847,A375,10.0,24.0,0.0634,389,5284439,,"ATAD2,CDT1,FAM111A,USP1","CDKN1A,IRS2,SPRED2,SPRY1,TSC22D1"
BMS-754807,BRD-K13049116,A375,10.0,24.0,0.0634,373,24785538,,"ATAD2,CDT1,FAM111A,POLD1","CDKN1A,SAMD4A,SLC1A4,TSC22D1,WLS"
GW405833 hydrochloride,BRD-K10705233,HT29,40.0,24.0,0.0634,464,9911463,,"A2M,ATAD2,CDT1,FAM111A,PARP1,POLD1","CDKN1A,CREB3L2,IRS2,LAMB3"
CAM-9-027-3,BRD-K45399554,HT29,10.0,24.0,0.0634,438,49849912,,"ATAD2,CDT1,PARP1,POLD1,USP1","CDKN1A,CREB3L2,IRS2,SLC1A4"
YM-155,BRD-K76703230,HT29,0.31,24.0,0.0634,375,10126189,,"FAM111A,PARP1","ANXA3,CDKN1A,GJA1,LAMB3,MICAL2,NEDD4L,PRSS23"
C8273,BRD-K25504083,HT29,10.0,6.0,0.0634,168,44634700,,ITGA4,"ANXA3,CDKN1A,LAMB3,MALL,PALLD,PRSS23,SORBS2,TJP2"
QL-XII-47,BRD-K99252563,LNCAP,1.11,24,0.0634,397,71748056,,"ATAD2,ITGA4,PARP1","CDKN1A,IRS2,PALLD,PBX1,PDGFA,SAMD4A"
DG-041,BRD-K33272502,A375,40.0,24.0,0.0563,413,11296282,,"ATAD2,CDT1,FAM111A,POLD1,USP1","CDKN1A,MICAL2,PDGFA"
"""""""Ingenol 3, 20-dibenzoate""""""",BRD-A52650764,HCC515,10.0,24.0,0.0563,413,5225086,,"ATAD2,CDT1,FAM111A,POLD1,USP1","CDKN1A,EFNB2,LAMB3,TSC22D1"
-666,BRD-K57080016,HCC515,80.0,24.0,0.0563,404,10127622,,"ATAD2,CDT1,POLD1,USP1","GJA1,PBX1,PRSS23,TSC22D1"
phorbol-12-myristate-13-acetate (PMA),BRD-A15079084,HCC515,10.0,6.0,0.0563,253,4792,,,"CDKN1A,EFNB2,LAMB3,MALL,MICAL2,NEDD4L,PDGFA,TJP2"
-666,BRD-A18763547,HT29,10.0,24.0,0.0563,457,2729027,,"ATAD2,FAM111A,PARP1","CDKN1A,CREB3L2,IRS2,LAMB3,NDEL1"
COT-10b,BRD-K18190982,HT29,44.4,24.0,0.0563,499,73707373,,"ATAD2,FAM111A,ITGA4,PARP1","CDKN1A,CREB3L2,LAMB3,PRSS23"
LY-2183240,BRD-K37865504,HT29,10.0,24.0,0.0563,299,11507802,,"ATAD2,VCAM1","ANXA3,CDKN1A,LAMB3,MICAL2,PALLD,PRSS23"
MK-2206,BRD-K68065987,HT29,10.0,24.0,0.0563,393,24964624,,"ATAD2,CDT1,PARP1,POLD1,USP1","CDKN1A,IRS2,PRSS23,SORBS2"
-666,BRD-K17140735,HT29,11.1,6.0,0.0563,320,4259181,,ITGA4,"ANXA3,CDKN1A,LAMB3,MICAL2,NDEL1,NEDD4L,TJP2,TSC22D1"
4-Demethoxydaunorubicin hydrochloride (65),BRD-A71390734,MCF7,0.08,24.0,0.0563,345,42594,,"ATAD2,USP1","EFNB2,LAMB3,PLSCR3,PRSS23,QSOX1,WLS"
Narciclasine,BRD-K06792661,RMUGS,10.0,6.0,0.0563,266,72376,,"A2M,ADCY7","ANXA3,CDKN1A,DUSP8,MAP7,PALLD,PDGFA,TSC22D1"
NCGC00183690-01,BRD-A43126523,A375,10.0,24.0,0.0563,285,44142346,,DHRS11,"CDKN1A,GJA1,IRS2,MICAL2,PDGFA,PLSCR3,SAMD4A"
arg-a1-2 BRD-K39580048,BRD-K39580048,HA1E,10.0,6.0,0.0563,225,2785467,,"ACACB,MTMR4","CDKN1A,CREB3L2,EFNB2,MAP7,NEDD4L,SPRY1"
taxifolin-(+/-),BRD-K95808480,VCAP,10.0,24.0,0.0563,473,712318,,"CDT1,POLD1,SNX5,VCAM1","ANXA3,CDKN1A,MICAL2,NEDD4L"
S1057,BRD-K15600710,MCF7,10.0,24.0,0.0563,405,11404337,,ATAD2,"ANXA3,CDKN1A,CREB3L2,IRS2,LAMB3,MAP7,MICAL2,PALLD,QSOX1"
-666,BRD-K53308430,PC3,10.0,6.0,0.0563,146,44507247,,VCAM1,"CDKN1A,EFNB2,LAMB3,MALL,PALLD,PRSS23,TSC22D1,WLS"
NVP-BEZ235,BRD-K12184916,A549,1.11,24,0.0563,327,11977753,,"ATAD2,FAM111A,USP1","ANXA3,ASAP2,LAMB3,MAP7,SAMD4A"
MK-2206,BRD-K68065987,HT29,10,24,0.0563,240,24964624,,"ATAD2,USP1","ANXA3,ASAP2,CDKN1A,PALLD,PDGFA,PRSS23"
NORETHYNODREL,BRD-A00758722,VCAP,10.0,24.0,0.0493,277,5702095,,VCAM1,"ANXA3,CDKN1A,GJA1,IRS2,NEDD4L,PLSCR3"
NORETHINDRONE,BRD-A39415247,VCAP,10.0,24.0,0.0493,322,5702093,,"USP1,VCAM1","ANXA3,CDKN1A,IRS2,NEDD4L,PLSCR3"
Digoxigenin,BRD-K18619710,VCAP,10.0,24.0,0.0493,335,15478,,"ALDH3A1,MTMR4,VCAM1","CDKN1A,HS2ST1,PLSCR3,TNFAIP1"
Norethynodrel,BRD-K80334323,VCAP,10.0,24.0,0.0493,283,6231,,VCAM1,"ANXA3,CDKN1A,DDAH2,GJA1,IRS2,NEDD4L"
Testosterone propionate,BRD-K90553655,VCAP,10.0,24.0,0.0493,296,5995,DB01420,VCAM1,"ANXA3,CDKN1A,IRS2,MAP7,NEDD4L,PLSCR3"
PAC 1,BRD-K50841342,PC3,10.0,24.0,0.0493,227,5344054,,,"CDKN1A,IRS2,LAMB3,NEDD4L,PALLD,PDGFA,SORBS2,TSC22D1"
89671,BRD-A31107743,A375,0.09,24.0,0.0493,399,5353446,,"ATAD2,BAZ1A,FAM111A","CREB3L2,HGF,MICAL2,NDEL1"
-666,BRD-A62809825,A375,10.0,24.0,0.0493,464,5353993,,"ATAD2,CDT1,FAM111A,VCAM1","CDKN1A,CREB3L2,IRS2,MICAL2,PDGFA"
TG101348,BRD-K12502280,A375,11.1,24.0,0.0493,495,16722836,,"ATAD2,CDT1,FAM111A,POLD1,USP1","CDKN1A,EFNB2,SPRY1,WLS"
-666,BRD-K19295594,A375,11.1,24.0,0.0493,533,227456,,"ATAD2,CDT1,FAM111A,PARP1,POLD1,USP1","CDKN1A,LAMB3,MICAL2,PDGFA"
Lonidamine,BRD-K78513633,A549,177.6,24.0,0.0493,174,39562,,"ATAD2,CDT1","ANXA3,CDKN1A,LAMB3,MICAL2,PDGFA"
curcubitacin I,BRD-A28105619,HT29,10.0,24.0,0.0493,433,73707401,,"FAM111A,ITGA4,POLD1","CDKN1A,CREB3L2,LAMB3,MICAL2,NEDD4L,PDGFA"
niguldipine hydrochloride,BRD-A43331270,HT29,10.0,24.0,0.0493,422,71317558,,"ATAD2,CDT1,PARP1,POLD1","CDKN1A,CREB3L2,IRS2"
Emetine Dihydrochloride Hydrate (74),BRD-K01976263,HT29,0.63,24.0,0.0493,445,11957493,,"MTMR4,PARP1,VCAM1","ANXA3,CDKN1A,GJA1,IRS2,LAMB3,PDGFA"
CYT997,BRD-K23363278,HT29,1.0,24.0,0.0493,189,11351021,,VCAM1,"ANXA3,IRS2,LAMB3,MICAL2,PALLD,PRSS23"
Akt inhibitor IV,BRD-K28296557,HT29,10.0,24.0,0.0493,429,5719375,,"ATAD2,PARP1","CDKN1A,CREB3L2,IRS2,NDEL1,SLC1A4"
-666,BRD-K64642496,HT29,40.0,24.0,0.0493,404,10322450,,"ACACB,ATAD2,CDT1,FAM111A","CDKN1A,CREB3L2,GJA1,LAMB3"
Tyrphostin AG 1478,BRD-K68336408,HT29,56.78,24.0,0.0493,505,2051,,"ATAD2,BAZ1A,CDT1,POLD1","CDKN1A,CREB3L2,MICAL2,NDEL1,SLC1A4"
