drug,pert_id,cell_line,dose,time,score,deg_count,pubchem_id,drugbank_id,up_dn_overlap,dn_up_overlap
vorinostat,BRD-K81418486,MCF7,10.0,6.0,0.0461,350,5311,DB02546,"CST3,GRIA2,MLPH,NINJ1,SPRR1A,TNS3,TP63,ZFP36L2","ACAA2,MOSPD1"
Narciclasine,BRD-K06792661,A375,10.0,24.0,0.0415,622,72376,,"CRABP2,CST3,EHD3,ENO2,GRIA2,GTSE1,HEY1,KRT18,NEIL3,TUBB6","DUSP8,PAFAH1B1,SUPT7L"
trichostatin A,BRD-A19037878,A375,10.0,24.0,0.0369,545,6376322,,"CST3,GTSE1,IGF2BP2,KRT18,SLC43A3,TGM2,TNS3","MOSPD1,SLC6A8"
Parthenolide,BRD-K81651477,VCAP,20.0,24.0,0.0369,454,5420804,,"CST3,GPX1,IGFBP2,MLPH,NPY,POLD2,TNS3","ACAA2,NAMPT,NQO1,PAFAH1B1"
-666,BRD-K60870698,A375,10.0,24.0,0.0369,361,3238417,,"GNG12,GTSE1,HEY1,KRT18,LRP8,NPY,PSRC1,TNS3",MOSPD1
vorinostat,BRD-K81418486,A549,10.0,24.0,0.0369,539,5311,DB02546,"EDN1,GPX1,GTSE1,KRT18,MLPH,NEIL3,PARVB,TGM2,TNS3",
trichostatin A,BRD-K68202742,VCAP,10.0,24.0,0.0369,307,444732,,"CXCL13,GPX1,GTSE1,IGFBP2,KRT18,MLPH,SOX11,TGM2",
CHIR-99021,BRD-K16189898,HME1,10,24,0.0369,229,9956119,,"IGF2BP2,LTBP2,MLPH,RAI14","CRY1,FBXW7,FZD7,KIF1B"
CA-074-Me,BRD-A56020723,A375,10.0,24.0,0.0323,228,23760717,,"CST3,FXYD2,HEY1,IGFBP2,KRT18,SOX11","BAG2,NAMPT,NQO1"
Chemistry 2804,BRD-K74402642,HCC515,10.0,6.0,0.0323,240,6477762,,"GPX1,NPTX1,TGM2,TIMP1,TNS3","NAMPT,STIP1"
Bay 11-7821,BRD-K15025317,VCAP,10.0,6.0,0.0323,252,5353431,,"CILP,GPX1,KRT18,MLPH,NPY,TNS3","NAMPT,NQO1"
-666,BRD-K56411643,VCAP,10.0,6.0,0.0323,271,40911229,,"GPX1,KRT18,NPY,TGM2","COCH,NQO1,PAFAH1B1"
Parthenolide,BRD-K98548675,VCAP,10.0,6.0,0.0323,328,6473881,,"GPX1,IGFBP2,NPY,TNS3","BAG2,NAMPT,NQO1"
vorinostat,BRD-K81418486,A375,10.0,24.0,0.0323,331,5311,DB02546,"GPX1,GTSE1,IGF2BP2,IGFBP2,KRT18,PARVB,SLC43A3,TGM2",
