drug,pert_id,cell_line,dose,time,score,deg_count,pubchem_id,drugbank_id,up_dn_overlap,dn_up_overlap
DL-PDMP,BRD-K05653692,HT29,64.0,24.0,0.0431,508,16219895,,CDT1,"CDKN1A,CREB3L2,FNDC3B,HBP1,JUN,KLF6,MICAL2,PJA2,TRIB3,VAT1"
Narciclasine,BRD-K06792661,HT29,10.0,24.0,0.0431,475,72376,,LRP8,"CDKN1A,DMXL2,FNDC3B,GAA,GJA1,HBP1,JUN,KIDINS220,SPAG9,TIPARP"
Narciclasine,BRD-K06792661,PC3,10.0,24.0,0.0431,511,72376,,"ALDH3A1,GCHFR,LRP8","CDKN1A,FNDC3B,GJA1,HBP1,JUN,KIDINS220,KLF6,SPAG9,SPRY1,TIPARP"
trichostatin A,BRD-A19037878,VCAP,10.0,6.0,0.0431,461,6376322,,"ALDH3A1,TP53","CDKN1A,CREB3L2,FBLN5,KLF6,MBNL2,SPAG9,TIPARP,VAT1"
-666,BRD-A93236127,HT29,10.0,6.0,0.0431,196,5702041,,"A2M,NEFH,TP53","CDKN1A,EGFR,FNDC3B,JUN,KLF6,SPAG9,TIPARP"
-666,BRD-K23478508,HT29,10.0,6.0,0.0431,175,2724385,,"A2M,LAMP3,LAPTM5,NEFH,SULF1","CDKN1A,EGFR,JUN,KLF6,MALL,TIPARP"
trichostatin A,BRD-A19037878,VCAP,10.0,6.0,0.0388,307,6376322,,"A2M,SULF1,TP53","CDKN1A,KLF6,MBNL2,SPAG9,TIPARP,VAT1"
CAY10594,BRD-K61662457,HT29,20.0,24.0,0.0388,476,56588033,,"CDT1,COTL1","CDKN1A,CREB3L2,FNDC3B,HBP1,MICAL2,PJA2,TRIB3"
-666,BRD-K66792149,HT29,11.1,24.0,0.0388,370,17748,,"FAM117A,TP53","CDKN1A,CLIP1,EGFR,JUN,MALL,MICAL2,SPAG9,TIPARP"
-666,BRD-A34806832,HT29,10.0,6.0,0.0388,225,9828429,,"A2M,SULF1","CDKN1A,EGFR,FNDC3B,JUN,KLF6,MALL,MBNL2,SPAG9,TIPARP"
-666,BRD-K84595254,HT29,10.0,6.0,0.0388,242,6185,,"A2M,CXCR4,SULF1,TP53","CDKN1A,EGFR,JUN,KLF6,MALL,TIPARP"
WH-4-025,BRD-U60236422,HT29,10,24,0.0388,368,,,"CDT1,COTL1,CXCR4","CDKN1A,CEP70,DEPTOR,DMXL2,HBP1,PJA2,PLCB4,VAT1"
vorinostat,BRD-K81418486,PC3,10.0,24.0,0.0345,494,5311,DB02546,"ALDH3A1,GCHFR","ANKRD46,CDKN1A,FBLN5,KIDINS220,KIF1B,KIF3A,KLF6,LCMT1,SECISBP2L,TIPARP"
EMETINE,BRD-A25687296,HCC515,10.0,24.0,0.0345,360,5702048,,"ITGA4,LAPTM5,LRP8","DMXL2,EGFR,HBP1,JUN,KLF6,SPAG9,TIPARP"
OUABAIN,BRD-A68930007,HT29,10.0,6.0,0.0345,176,12420,,"A2M,SULF1","CDKN1A,EGFR,JUN,KLF6,SPAG9,TIPARP"
PERIPLOCYMARIN,BRD-A45333398,VCAP,10.0,24.0,0.0345,193,6708762,,GALNT14,"CDKN1A,CRIM1,FNDC3B,MBNL2,MICAL2,PHACTR2,YES1"
LY-2183240,BRD-K37865504,A375,10.0,24.0,0.0345,253,11507802,,,"CDKN1A,CRIM1,EXT1,GJA1,JUN,KLF6,MALL,MICAL2"
Arachidonyl trifluoro-methyl ketone,BRD-K07303502,A549,80.0,6.0,0.0345,223,5280436,,"ALDH3A1,SULF1","CDKN1A,HBP1,ITIH5,JUN,KLF6,MBNL2,TRIB3"
DG-041,BRD-K33272502,A549,40.0,6.0,0.0345,300,11296282,,ALDH3A1,"CREB3L2,EGFR,FNDC3B,JUN,KLF6,MBNL2,MICAL2,TIPARP,TRIB3"
Arachidonyl trifluoro-methyl ketone,BRD-K07303502,HT29,80.0,24.0,0.0345,490,5280436,,"SULF1,TP53","CDKN1A,CREB3L2,HBP1,JUN,SECISBP2L,SPAG9,TRIB3,VAT1"
Ro 28-1675 ?,BRD-K21672174,HT29,160.0,24.0,0.0345,520,9886086,,CDT1,"CDKN1A,CREB3L2,FNDC3B,JUN,PJA2,SPAG9,TRIB3"
AZD8055,BRD-K69932463,HT29,10.0,24.0,0.0345,335,25262965,,"COTL1,NUP98","CDH13,CRIM1,HBP1,MBNL2,PLCB4,SPRY1,VAT1"
YM-155,BRD-K76703230,HT29,0.31,24.0,0.0345,375,10126189,,,"CDKN1A,EGFR,GJA1,HBP1,KLF6,MICAL2,PLXNA2,TRIB3"
TG101348,BRD-K12502280,MCF7,11.1,24.0,0.0345,436,16722836,,"CDT1,NUP98","ANKRD46,CDKN1A,DMXL2,HBP1,ITGB5,JUN,PLCB4"
N9-isoproplyolomoucine,BRD-K71726959,SKM1,122.55,6.0,0.0345,225,6610355,,"GCNT1,HCLS1,INPP5D","DACH1,EXT1,GJA1,MICAL2,SLC7A8,SPRY1,TRIB3"
curcumin,BRD-K74148702,THP1,48.0,6.0,0.0345,240,16760039,,"CXCR4,GCNT1,NUP98","CDH13,GJA1,IPO13,JUN,TEK,TRIB3"
TW 37,BRD-K28360340,VCAP,10.0,24.0,0.0345,388,11455910,,NEFH,"CDKN1A,EGFR,GJA1,JUN,KLF6,MBNL2,PHACTR2,SPAG4,TIPARP,YES1"
piperlongumine (HPLC),BRD-K24132293,VCAP,10.0,6.0,0.0345,324,637858,,SULF1,"CDKN1A,CREB3L2,HBP1,JUN,SPAG9,TIPARP,TRIB3"
-666,BRD-K92317137,WSUDLCL2,10.0,6.0,0.0345,204,659101,,,"CDKN1A,DACH1,GJA1,HBP1,JUN,MYLK,PHACTR2,TRIB3"
-666,BRD-K14027855,A549,10.0,6.0,0.0345,180,53338820,,ALDH3A1,"BCL2L2,JUN,MICAL2,PAM,SPAG4,SPRY1,TRIB3"
V4877,BRD-A26002865,ASC,10.0,24.0,0.0345,370,104830,,"ITGA4,LSP1,RASSF2,SNN","EGFR,JUN,KIDINS220,SPAG9,TIPARP"
-666,BRD-A68930007,HT29,10.0,6.0,0.0345,242,12420,,LAPTM5,"CDKN1A,EGFR,FNDC3B,JUN,KLF6,MBNL2,SPAG9,TIPARP"
-666,BRD-K91370081,HT29,10.0,6.0,0.0345,338,253602,,"A2M,SULF1","CDKN1A,FNDC3B,HBP1,JUN,KLF6,MALL,MBNL2,SPAG9,TIPARP"
-666,BRD-A94756469,HT29,10.0,6.0,0.0345,196,5702042,,"ALDH3A1,NEFH","CDKN1A,EGFR,FNDC3B,JUN,KLF6,TIPARP"
-666,BRD-A71459254,HT29,10.0,6.0,0.0345,216,6708764,,TP53,"CDKN1A,EGFR,FNDC3B,JUN,KLF6,SPAG9,TIPARP"
-666,BRD-K37392901,MCF7,10.0,6.0,0.0345,240,6477762,,"RASSF2,SNN","CDKN1A,JUN,KLF6,MALL,TIPARP,TRIB3"
-666,BRD-K91145395,MCF7,10.0,24.0,0.0345,278,454217,,"FMOD,SULF1,TP53","CDKN1A,EGFR,ITGB5,KLF6,MALL,MICAL2"
-666,BRD-K06009608,VCAP,10.0,24.0,0.0345,353,44506826,,"CDT1,LRP8,TP53","FNDC3B,JUN,KLF6,PAM,TIPARP"
NVP-BEZ235,BRD-K12184916,PC3,3.33,24,0.0345,318,11977753,,LRP8,"CDKN1A,EGFR,HBP1,KLF6,LAMB2,PLCB4,VAT1"
GDC-0980,BRD-A18328003,SKBR3,10,24,0.0345,295,,,"COTL1,LAPTM5,LRP8","DEPTOR,HBP1,LAMB2,MBNL2,SECISBP2L"
buparlisib,BRD-K42191735,SKBR3,3.33,24,0.0345,207,16654980,,LRP8,"DACH1,FBLN2,FNDC3B,HBP1,MBNL2,PAM,PLCB4,SECISBP2L"
torin-1,BRD-K40175214,PC3,1.11,24,0.0345,272,49836027,,"CHST2,LRP8","CRIM1,EGFR,HBP1,ITGB5,ITIH5,VAT1"
GSK-2126458,BRD-K42918627,PC3,0.12,24,0.0345,291,52914946,,COTL1,"CRIM1,HBP1,ITGB5,ITIH5,LAMB2,SPRY1,TIPARP"
GSK-2126458,BRD-K42918627,PC3,0.37,24,0.0345,296,52914946,,,"DEPTOR,HBP1,ITGB5,ITIH5,LAMB2,MBNL2,SECISBP2L,TIPARP"
WYE-125132,BRD-A45498368,PC3,1.11,24,0.0345,237,25260757,,"COTL1,LRP8","CRIM1,DEPTOR,EGFR,HBP1,ITIH5,KLF6,LAMB2,VAT1"
GSK-2126458,BRD-K42918627,PC3,3.33,24,0.0345,313,52914946,,,"CDKN1A,CTSF,HBP1,ITGB5,LAMB2,SECISBP2L,TIPARP,VAT1"
Strophanthidin,BRD-K84595254,HCC515,10.0,24.0,0.0302,388,6185,,"ALDH3A1,GALNT14","HBP1,JUN,KIDINS220,SPAG9,TIPARP"
NORETHYNODREL,BRD-A00758722,VCAP,10.0,24.0,0.0302,277,5702095,,"LRP8,TP53","CDKN1A,EGFR,FNDC3B,GJA1,TIPARP"
PENFLURIDOL,BRD-K15409150,VCAP,10.0,24.0,0.0302,275,33630,,,"CDKN1A,CREB3L2,FNDC3B,JUN,MBNL2,PJA2,TIPARP,TRIB3"
DIGOXIN,BRD-A94756469,HA1E,10.0,6.0,0.0302,260,5702042,,,"CDKN1A,EGFR,FNDC3B,JUN,KLF6,SPAG9,SPRY1,TIPARP"
