drug,pert_id,cell_line,dose,time,score,deg_count,pubchem_id,drugbank_id,up_dn_overlap,dn_up_overlap
vorinostat,BRD-K81418486,MCF7,10,24,0.0478,370,5311,DB02546,"ALDH3A1,CCNB2,CD44,CXCL14,GINS2,IGFBP2,MLPH,PDLIM4,UCK2","DUSP1,GLO1,WDTC1"
curcumin,BRD-K74148702,CL34,48.0,6.0,0.0431,214,16760039,,"BID,CCNB2,CXCL14,IGFBP2,POLD2,SOX11,TYRP1","CDKN2C,DUSP1,NQO1,NR4A2"
vorinostat,BRD-K81418486,A549,10.0,24.0,0.0431,539,5311,DB02546,"ALDH3A1,CD44,CXCL14,FBN2,KRT18,MLH1,MLPH,SPP1","RHOB,SMPD1,WDTC1"
vorinostat,BRD-K81418486,A375,10,24,0.0431,337,5311,DB02546,"CCNB1,CCNB2,CXCL14,FBN2,GRIA2,PLP1","DUSP1,FDFT1,NQO1,RHOB,WDTC1"
PD-0325901,BRD-K49865102,MDAMB231,1.11,24,0.0431,232,9826528,,"FXYD2,GINS2,IGFBP2,PSRC1,SPP1","DUSP1,PEX11A,RHOB,SOD2"
trichostatin A,BRD-A19037878,PC3,10.0,24.0,0.0383,403,6376322,,"ALDH3A1,CCNB2,CXCL14,KRT18,MLPH,PDLIM4,PLP2","FDFT1,RHOB"
EMETINE,BRD-A25687296,HCC515,10.0,6.0,0.0383,319,5702048,,"ALDH3A1,APOD,CXCL14,IGFBP2,RNASE1","DUSP1,ECD,NR4A2,RHOB"
CA-074-Me,BRD-A56020723,A375,10.0,24.0,0.0383,228,23760717,,"APOD,CXCL14,EID1,FXYD2,IGFBP2,KRT18,SOX11","DUSP1,NQO1,SOD2"
trichostatin A,BRD-A19037878,PC3,10.0,24.0,0.0383,490,6376322,,"ALDH3A1,CCNB2,CD44,CXCL14,FBN2,KRT18,PDLIM4,PLP2","FDFT1,RHOB"
Chemistry 2804,BRD-K74402642,SKMEL28,10.0,6.0,0.0383,184,6477762,,"CXCL14,MLPH,PRKCZ,TYRP1","DUSP1,NR4A2,RHOB,SOD2"
trichostatin A,BRD-A19037878,MCF7,10.0,24.0,0.0383,459,6376322,,"ALDH3A1,CCNB2,CXCL14,GINS2,KRT18,MLPH,PDLIM4,UCK2",DUSP1
-666,BRD-K13810148,MCF7,10.0,24.0,0.0383,423,9804992,,"ALDH3A1,GFRA1,GINS2,IGFBP2,KRT18,MLPH,UCK2","DUSP1,FDFT1,WDTC1"
-666,BRD-K64606589,VCAP,10.0,24.0,0.0383,342,,,"ALDH3A1,CCNB2,IGFBP2,MLPH,SOX11,TDO2,UCK2","ARC,FDFT1"
EI-215,BRD-K40255344,HEPG2,10.0,6.0,0.0383,178,5614,,"BID,CILP,IGFBP2,NRCAM,PCP4,PRKCB","DUSP1,NR4A2"
H7270,BRD-A39646320,MCF7,10.0,6.0,0.0383,335,3571,,"ALDH3A1,CXCL14,GRIA2,MLPH,PDLIM4","CRAT,FDFT1,RHOB,WDTC1"
V4877,BRD-A26002865,PC3,10.0,6.0,0.0383,302,104830,,"ALDH3A1,CD44,CXCL14,ENO2","DUSP1,NR4A2,OXSR1,RHOB"
