drug,approved,odds_ratio,pvalue,adj_pvalue,pvalue_up,adj_pvalue_up,pvalue_down,adj_pvalue_down,count_significant,count_insignificant,count_up_significant
terbinafine,True,0,1,1,1,1,1,1,1,381,0
voriconazole,True,0,1,1,1,1,1,1,1,401,0
bosutinib,True,0,1,1,1,1,1,1,1,995,1
valdecoxib,True,0,1,1,1,1,1,1,1,539,0
temazepam,True,0,1,1,1,1,1,1,1,323,0
rosuvastatin,True,0,1,1,1,1,1,1,1,411,0
bosentan,True,0,1,1,1,1,1,1,1,493,0
sulfadoxine,True,0,1,1,1,1,1,1,1,179,0
regorafenib,True,0,1,1,1,1,1,1,1,737,1
sufentanil,True,0,1,1,1,1,1,1,1,167,0
droperidol,True,0,1,1,1,1,1,1,1,379,0
nimodipine,True,0,1,1,1,1,1,1,1,719,0
dacarbazine,True,0,1,1,1,1,1,1,1,357,0
felbamate,True,0,1,1,1,1,1,1,1,453,1
albendazole,True,0,1,1,1,1,1,1,1,443,1
triamcinolone,True,0,1,1,1,1,1,1,1,479,1
temozolomide,True,0,1,1,1,1,1,1,1,1159,0
olmesartan-medoxomil,True,0,1,1,1,1,1,1,1,457,0
dexamethasone,True,0,1,1,1,1,1,1,1,933,0
belinostat,True,0,1,1,1,1,1,1,2,772,0
levalbuterol,True,0,1,1,1,1,1,1,1,245,1
lorazepam,True,0,1,1,1,1,1,1,1,983,1
guanethidine,True,0,1,1,1,1,1,1,1,445,0
cholic-acid,True,0,1,1,1,1,1,1,1,393,0
estradiol,True,0,1,1,1,1,1,1,1,1389,0
drospirenone,True,0,1,1,1,1,1,1,1,433,0
KPT-330,True,0,1,1,1,1,1,1,1,237,0
fosfomycin,True,0,1,1,1,1,1,1,1,311,0
acetazolamide,True,0,1,1,1,1,1,1,1,343,0
ibrutinib,True,0,1,1,1,1,1,1,1,2225,0
levonorgestrel,True,0,1,1,1,1,1,1,1,465,0
pazopanib,True,0,1,1,1,1,1,1,1,1465,0
erlotinib,True,0,1,1,1,1,1,1,1,2267,0
ribavirin,True,0,1,1,1,1,1,1,1,359,1
fludarabine,True,0,1,1,1,1,1,1,1,681,0
clofazimine,True,0,1,1,1,1,1,1,1,327,0
diltiazem,True,0,1,1,1,1,1,1,1,633,0
dienestrol,True,0,1,1,1,1,1,1,1,813,0
testosterone,True,0,1,1,1,1,1,1,1,587,0
etravirine,True,0,1,1,1,1,1,1,1,299,0
methylnaltrexone,True,0,1,1,1,1,1,1,1,305,0
diphenylpyraline,True,0,1,1,1,1,1,1,1,177,0
metolazone,True,0,1,1,1,1,1,1,1,365,0
ponatinib,True,0,1,1,1,1,1,1,1,937,1
dexamethasone-acetate,True,0,1,1,1,1,1,1,1,369,0
doxorubicin,True,0,1,1,1,1,1,1,1,1327,1
zidovudine,True,0,1,1,1,1,1,1,1,355,0
azacitidine,True,0,1,1,1,1,1,1,1,891,0
paroxetine,True,0,1,1,1,1,1,1,2,594,0
olanzapine,True,0,1,1,1,1,1,1,1,363,1
chlortetracycline,True,0,1,1,1,1,1,1,1,35,0
fulvestrant,True,0,1,1,1,1,1,1,2,1730,0
efavirenz,True,0,1,1,1,1,1,1,1,379,0
citalopram,True,0,1,1,1,1,1,1,1,495,0
imipramine,True,0,1,1,1,1,1,1,1,511,0
RITA,True,0,1,1,1,1,1,1,1,909,1
auranofin,True,0,1,1,1,1,1,1,1,397,0
trazodone,True,0,1,1,1,1,1,1,1,399,0
MLN-2480,True,0,1,1,1,1,1,1,1,335,1
bortezomib,True,0,1,1,1,1,1,1,3,17019,0
azelastine,True,0,1,1,1,1,1,1,1,355,0
bimatoprost,True,0,1,1,1,1,1,1,1,345,0
fluphenazine,True,0,1,1,1,1,1,1,1,749,0
vorinostat,True,0,1,1,1,1,1,1,2,6486,0
ranitidine,True,0,1,1,1,1,1,1,1,465,0
bisoprolol,True,0,1,1,1,1,1,1,1,367,1
tretinoin,True,0,1,1,1,1,1,1,1,987,0
biperiden,True,0,1,1,1,1,1,1,1,409,0
temsirolimus,True,0,1,1,1,1,1,1,1,657,1
ifosfamide,True,0,1,1,1,1,1,1,1,349,1
dabrafenib,True,0,1,1,1,1,1,1,1,1303,0
lapatinib,True,0,1,1,1,1,1,1,1,1871,0
