drug,pert_id,cell_line,dose,time,score,deg_count,pubchem_id,drugbank_id,up_dn_overlap,dn_up_overlap
VU0420364-1,BRD-K88317944,HT29,10.0,6.0,0.0909,277,46897843,,"CAST,PDLIM5,TOX3","CKB,CYTL1,ELOVL4,LGALS2"
E3380,BRD-K85985071,SKB,10.0,24.0,0.0909,270,3213,,"DLD,IMPA2,MAP1A,PDLIM5","FUCA1,IL1RN,KRT23"
JAK3 Inhibitor VI,BRD-K04546108,HA1E,10.0,24.0,0.0779,362,9947841,,"CAST,KCNMA1,PDLIM5,TOX3","ADAM28,IL1RN"
JAK3 Inhibitor VI,BRD-K04546108,HCC515,10.0,24.0,0.0779,346,9947841,,"CAST,FGF13,IMPA2,PCDH9,TOX3",KRT23
trichostatin A,BRD-K68202742,NPC,10.0,24.0,0.0779,355,444732,,"MAP4K5,TOX3","CDK5RAP3,FABP4,FUCA1,RUVBL2"
-666,BRD-K04546108,A549,10.0,6.0,0.0779,201,9947841,,"CAST,IMPA2,PDLIM5","FABP4,IL1RN,KRT23"
mitoxantrone,BRD-K21680192,A549,3.33,24,0.0779,367,5458171,,"IMPA2,PDLIM5,PLCXD1,RAD54B","FABP4,FUCA1,KRT23"
Camptothecin,BRD-A30437061,HA1E,10.0,24.0,0.0649,371,2538,,PDLIM5,"FABP4,IL1RN,IRF1,KRT23"
Cefixime,BRD-K71059170,HA1E,10.0,6.0,0.0649,224,5362065,,"CSNK1A1,PCDH9,SRSF11","ADAM28,LGALS2"
Dorsomorphin dihydrochloride,BRD-K54233340,A375,10.0,6.0,0.0649,230,11524144,,CCNE2,"CKB,ELOVL4,FABP4,KRT23"
PRAZIQUANTEL,BRD-A21858158,HCC515,10.0,24.0,0.0649,173,4891,DB01058,"KCNMA1,PCDH9","CKB,FABP4,LGALS2"
"Methyl 2,5-dihydroxycinnamate",BRD-K88741031,HCC515,10.0,24.0,0.0649,172,5353609,,"CCNE2,PLCXD1,SSPN","CYTL1,FABP4"
TENIPOSIDE,BRD-A35588707,VCAP,10.0,6.0,0.0649,214,6708778,,"FGF13,PDLIM5","CKB,FABP4,IRF1"
mitoxantrone,BRD-K21680192,A549,10.0,24.0,0.0649,246,5458171,,"HSDL2,IMPA2,PDLIM5","FABP4,FUCA1"
BX-795,BRD-K47983010,MCF7,10.0,6.0,0.0649,210,10077147,,"CCNE2,FGF13,RAD54B,TOX3",FUCA1
CYT997,BRD-K23363278,PL21,1.0,6.0,0.0649,262,11351021,,ITIH3,"ADAM28,DDAH2,FABP4,KRT23"
BX-795,BRD-K47983010,VCAP,10.0,6.0,0.0649,249,10077147,,"CCNE2,RAD54B,TOX3","ADAM28,TAGLN2"
-666,BRD-K35708212,SKB,10.0,24.0,0.0649,359,439501,DB01092,"CAST,DLD,MAP1A,PDLIM5",IL1RN
trichostatin A,BRD-A19037878,NPC,10.0,24.0,0.0649,302,6376322,,"PGAP1,TOX3","CDK5RAP3,FUCA1,RUVBL2"
mitoxantrone,BRD-K21680192,A549,10,24,0.0649,318,5458171,,"PDLIM5,PLCXD1,RAD54B","FABP4,FUCA1,KRT23"
KIN001-127,BRD-A29901043,MCF7,10,24,0.0649,268,20635522,,"CCNE2,IMPA2,PLCXD1,RAD54B",FABP4
BYL719,BRD-K54997624,HS578T,10,24,0.0649,137,,,"CCNE2,DLD,IMPA2","CDK5RAP3,FABP4"
GSK-2126458,BRD-K42918627,HT29,0.37,24,0.0649,229,52914946,,,"COMT,DDAH2,FUCA1,KRT23,NPDC1"
AZD-8055,BRD-K69932463,MCF10A,3.33,24,0.0649,273,25262965,,IMPA2,"ADAM28,CDK5RAP3,DDAH2,FABP4"
WYE-125132,BRD-A45498368,PC3,3.33,24,0.0649,196,25260757,,"CCNE2,RAD54B","ADAM28,CDK5RAP3,FABP4"
torin-1,BRD-K40175214,PC3,0.12,24,0.0649,140,49836027,,CAST,"ADAM28,CYTL1,FABP4,FUCA1"
H-9 dihydrochloride,BRD-K70577657,HCC515,10.0,6.0,0.0519,178,3544,,TOX3,"FABP4,IL1RN,LGALS2"
VINCRISTINE SULFATE,BRD-A60414806,HA1E,10.0,24.0,0.0519,242,6324671,,"CCNE2,IMPA2","FABP4,KRT23"
PPT,BRD-K00312224,HA1E,10.0,6.0,0.0519,216,6095481,,"PDLIM5,SRSF11","FABP4,LGALS2"
"W-12, Hydrochloride",BRD-K78084463,HA1E,10.0,6.0,0.0519,207,4298,,"PCDH9,PDLIM5,SRSF11",LGALS2
DIGOXIN,BRD-A94756469,HA1E,10.0,6.0,0.0519,260,5702042,,IMPA2,"IL1RN,IRF1,KRT23"
MITOMYCIN C,BRD-A48237631,HCC515,10.0,24.0,0.0519,340,5702003,,"IMPA2,TOX3","FABP4,SF3B4"
FIPRONIL,BRD-A50675702,HCC515,10.0,24.0,0.0519,193,3352,,"IMPA2,PCDH9","CKB,FABP4"
Rottlerin,BRD-K39256324,HCC515,10.0,24.0,0.0519,384,5281847,,"CCNE2,IMPA2,RAD54B",FABP4
Immethridine dihydrobromide,BRD-K49519092,HCC515,10.0,24.0,0.0519,149,9989505,,"IMPA2,PCDH9,PDLIM5",FABP4
sirolimus,BRD-A79768653,HCC515,10.0,6.0,0.0519,197,5374464,,"FGF13,PDLIM5,TOX3",KRT23
AMSACRINE,BRD-K98490050,VCAP,10.0,6.0,0.0519,312,3926765,,"FGF13,PDLIM5","FABP4,FUCA1,IRF1"
Purvalanol A,BRD-K50836978,A549,10.0,24.0,0.0519,134,456214,,"PCDH9,PDLIM5","FABP4,NPDC1"
BMS-754807,BRD-K13049116,A375,10.0,24.0,0.0519,373,24785538,,"CCNE2,IMPA2,RAD54B",IL1RN
-666,BRD-K73261812,A549,10.0,24.0,0.0519,126,11238147,,"HSDL2,IMPA2,TOX3",NPDC1
4-Demethoxydaunorubicin hydrochloride (65),BRD-A71390734,HA1E,0.08,24.0,0.0519,321,42594,,,"ADAM28,FABP4,FUCA1,IL1RN"
4-Demethoxydaunorubicin hydrochloride (65),BRD-A71390734,HA1E,0.08,6.0,0.0519,202,42594,,,"FABP4,FUCA1,IL1RN,IRF1"
"""""""Ingenol 3, 20-dibenzoate""""""",BRD-A52650764,HCC15,10.0,6.0,0.0519,149,5225086,,CAST,"FABP4,IRF1,KRT23"
-666,BRD-K86574132,HCC515,48.0,24.0,0.0519,322,7326481,,"CCNE2,CPOX,RAD54B",FABP4
"3,5-dichloro-2-hydroxy-N-(2-methoxy-5-phenylphenyl)benzenesulfonamide",BRD-K43620258,HT29,80.0,24.0,0.0519,458,16747776,,"CAST,CCNE2,IMPA2",FABP4
Akti-1/2,BRD-K04887706,MCF7,9.1,24.0,0.0519,289,10196499,,"CCNE2,IMPA2,PCDH9",CDK5RAP3
AZD-7545-A,BRD-K52836380,MCF7,22.2,24.0,0.0519,58,16741245,,"CCNE2,DLD,FGF13",KRT23
Tyrphostin AG 1478,BRD-K68336408,MCF7,56.78,24.0,0.0519,312,2051,,"CCNE2,DLD,RAD54B",KRT23
"L-690,488",BRD-K69328504,MCF7,10.0,24.0,0.0519,264,5132514,,,"CYTL1,IRF1,KRT23,TAGLN2"
-666,BRD-A36630025,MCF7,0.35,6.0,0.0519,338,4014291,,PDLIM5,"CKB,FABP4,FUCA1"
