drug,pert_id,cell_line,dose,time,score,deg_count,pubchem_id,drugbank_id,up_dn_overlap,dn_up_overlap
chaetocin,BRD-A85860691,HA1E,0.08,6.0,0.0329,266,161591,,"CCNE2,CELF2,FERMT2,KDM3A,MGLL,PNMA1","HMOX1,MIA,OSBPL10,PLBD1,SNX10,TMEM158,YWHAE"
mitoxantrone,BRD-K21680192,A549,10.0,24.0,0.0301,246,5458171,,"CPT1A,HSDL2,IDE,LYPLA1,MBNL1,MGLL,PDLIM5,ROCK2,STAG2","BLCAP,CLU,SFN"
-666,BRD-A30437061,A549,10.0,6.0,0.0301,212,2538,,"CAST,CEP68,FGF13,MBNL1,MGLL,PDLIM5,PPP3CA,WWP1","CAPG,SFN,SPRY1,TAGLN2"
-666,BRD-A93236127,SKB,10.0,24.0,0.0301,283,5702041,,"CAP2,FYCO1,LYPLA1,MGLL,PKIA,WDR13","CLU,CRABP1,HMOX1,PLA2G7,SLC3A2"
T 98475,BRD-K62221994,HA1E,10.0,24.0,0.0274,186,9874838,,"CAP2,CELF2,FERMT2,SRP72","CAPG,CLU,CUTA,EBP,HMOX1,IL1RN,SFN"
BO2 (inhibits RAD51),BRD-K10882151,HT29,40.0,24.0,0.0274,293,5738263,,"CCNE2,FILIP1L,PDZRN3","CLU,ECM1,HMOX1,SFN,SLC3A2,SMOX,TMEM158"
Camptothecin,BRD-A30437061,HA1E,10.0,24.0,0.0247,371,2538,,"CAP2,DENND5A,MBNL1,MGLL,PDLIM5,PKN2,SRP72","AIF1,CLU,IL1RN,SFN,SPRY1,TMEM158"
-666,BRD-K93754473,HT29,28.39,24.0,0.0247,198,2733526,DB00675,"CAB39,CCNE2,DDX21,MBNL1,SRSF2","APOD,CAPG,HMOX1,SERPINE2,SHMT2,SLC3A2,TSPAN31"
Arachidonyl trifluoro-methyl ketone,BRD-K07303502,VCAP,80.0,6.0,0.0247,281,5280436,,"ANKRD46,CCNE2,MYBL1,PDZRN3,PPP3CA,SEMA3C","CLU,HMOX1,HSPD1,JUP,SLC3A2,SMOX"
trichostatin A,BRD-A19037878,HA1E,10.0,24.0,0.0247,368,6376322,,"CAP2,CELF2,DENND5A,FERMT2,IRAK1,MAP4K5,MBNL1,MGLL,SEMA3C,ZEB1","ACSL3,IFT27,JUP,ROGDI"
T542500,BRD-A59985574,MCF7,10.0,6.0,0.0247,338,5515,,"ERG,FGF13,PDLIM5,SCYL3","ATXN10,CAPG,FEZ1,IL1RN,SERPINE2,SFN,TMEM158"
S1003,BRD-K99749624,HCC515,10.0,6.0,0.0247,225,11485656,,"GOLGA3,KCNMA1,MGLL,PDZRN3,SCYL3,SYNJ2","APOD,CAMP,SFN"
-666,BRD-K35708212,SKB,10.0,24.0,0.0247,359,439501,DB01092,"CAP2,CAST,FYCO1,HSPB7,MGLL,PDLIM5,WDR13","CRABP1,HMOX1,IL1RN,PLBD1,PLEKHB2,SLC3A2,TMBIM6"
