drug,pert_id,cell_line,dose,time,score,deg_count,pubchem_id,drugbank_id,up_dn_overlap,dn_up_overlap
COT-10b,BRD-K18190982,HCC515,44.4,24.0,0.0959,408,73707373,,"BZW2,CCNB1,CDH2,KPNA2,LAPTM4B,MCM10,NME4,PRKCA","CTH,DNAJB9,DUSP5,ENO2,HLA-E,SAT1,SLC2A3"
DL-PDMP,BRD-K05653692,HT29,64.0,24.0,0.0959,508,16219895,,"CCNB1,KPNA2,MCM10,NME4","CTH,DNAJB9,DUSP5,EMP3,HLA-E,MKNK2,SAT1,SLC2A3,SLC7A7,SQSTM1"
COT-10b,BRD-K18190982,HT29,44.4,24.0,0.0959,499,73707373,,"C5ORF13,GZMK,MCM10,MGST2,NME4,PRKCA","CTH,DNAJB9,DUSP5,EMP3,ENO2,HLA-E,SAT1,SLC2A3,SLC7A7,WBP2"
BJM-ctd2-9,BRD-M86331534,HT29,10.0,24.0,0.0959,411,73707397,,"CDH2,GZMK,KPNA2,LAPTM4B,NME4,SERPINB6","DNAJB9,DUSP3,DUSP5,HLA-E,MKNK2,SAT1,SQSTM1,TAP1"
AMSACRINE,BRD-K98490050,HA1E,10.0,24.0,0.089,344,3926765,,"BZW2,C5ORF13,CDH2,KPNA2,LAPTM4B,NME4,PRKCA,TPM2","AIM2,DUSP5,IFIH1,PLA2G4C,SAT1,SQSTM1,TAP1"
NICLOSAMIDE,BRD-K35960502,PC3,10.0,24.0,0.089,304,4477,DB06803,"C5ORF13,LAPTM4B,NME4","CTH,DNAJB9,DUSP3,DUSP5,HLA-E,SAT1,SLC2A3,SLC7A7,TAP1,ZC3H12A"
Importazole,BRD-A02481876,HT29,60.0,24.0,0.089,462,2949965,,"C5ORF13,CDKN2A,GZMK,MGST2,NME4,SERPINB6","AIM2,DNAJB9,DUSP5,HLA-E,MKNK2,SLC2A3,SQSTM1,WBP2"
Akt inhibitor IV,BRD-K28296557,HT29,10.0,24.0,0.089,429,5719375,,"BZW2,MCM10,MGST2,NME4,PDGFD","AIM2,CTH,DNAJB9,DUSP5,MKNK2,SLC2A3,SQSTM1,WBP2"
BJM-ctd2-9,BRD-M86331534,MCF7,10.0,24.0,0.089,467,73707397,,"CCNB1,CDH2,KPNA2,LAPTM4B,MCM10,NME4","ALOX5,DUSP5,MKNK2,SAT1,SLC7A7,SQSTM1,ZC3H12A"
LDN-193189,BRD-K04853698,HT29,10,24,0.089,362,25195294,,"C5ORF13,MGST2,NME4,PRKCA,TST","AIM2,DNAJB9,DUSP5,SAT1,SLC2A3,SQSTM1,SWAP70,ZBTB43,ZC3H12A"
LASALOCID SODIUM,BRD-A72711497,A549,10.0,24.0,0.0822,244,6708465,,"BZW2,CADM1,CDH2,CDKN2A,KPNA2,LEF1,MCM10,NME4","DNAJB9,PLA2G4C,SAT1,SLC7A7"
PK-11195,BRD-A41451487,HT29,160.0,24.0,0.0822,500,1345,,"C5ORF13,CDKN2A,MGST2,NME4,TST","AIM2,CTH,DNAJB9,HOXB2,SAT1,SLC2A3,SQSTM1,ZBTB43"
Salermide,BRD-A67788537,HT29,120.0,24.0,0.0822,363,42626405,,"CDH2,MGST2,NME4,SERPINB6","AIM2,DNAJB9,DUSP5,HLA-E,IFIH1,SAT1,SLC15A3,SQSTM1,TAP1,WBP2,ZC3H12A"
NSC 3852,BRD-K13169950,HA1E,10.0,24.0,0.0753,352,19103,,"C5ORF13,CDH2,CDKN2A,NME4,PRKCA,SERPINB6,TPM2","DNAJB9,MNDA,SAT1,SQSTM1"
Importazole,BRD-A02481876,HA1E,60.0,24.0,0.0753,443,2949965,,"C5ORF13,CDH2,LAPTM4B,PRKCA","AIM2,ALOX5,CBX7,DUSP3,DUSP5,IFIH1,MKNK2,SQSTM1,TAP1"
IMD 0354,BRD-K74305673,HA1E,10.0,24.0,0.0753,389,5081913,,"BZW2,C5ORF13,CDH2,LAPTM4B,NME4,TPM2","ALOX5,DNAJB9,DUSP5,HLA-E,SLC7A7"
niguldipine hydrochloride,BRD-A43331270,HT29,10.0,24.0,0.0753,422,71317558,,"CCNB1,KPNA2,MCM10","CTH,DNAJB9,DUSP3,DUSP5,SAT1,SLC2A3,SQSTM1,WBP2"
CAM-9-027-3,BRD-K45399554,HT29,10.0,24.0,0.0753,438,49849912,,"CCNB1,GZMK,KPNA2,MCM10","CTH,DNAJB9,DUSP5,MKNK2,SAT1,SLC2A3,SQSTM1"
CHR 2797,BRD-K92241597,HT29,80.0,24.0,0.0753,473,15547703,,"C5ORF13,CDH2,CDKN2A,MCM10,NME4","CTH,DNAJB9,DUSP5,HLA-E,IFIH1,SAT1,SQSTM1,TAP1,ZC3H12A"
-666,BRD-K17140735,MCF7,11.1,24.0,0.0753,487,4259181,,"C5ORF13,MCM10,NME4","DNAJB9,DUSP5,EMP3,ENO2,HLA-E,SAT1,SQSTM1,ZC3H12A"
NICLOSAMIDE,BRD-K35960502,MCF7,10.0,24.0,0.0753,468,4477,DB06803,"KPNA2,LAPTM4B,MCM10,NME4","DNAJB9,DUSP5,EMP3,MKNK2,SAT1,SQSTM1,ZC3H12A"
IMD 0354,BRD-K74305673,MCF7,10.0,24.0,0.0753,528,5081913,,"C5ORF13,CCNB1,KPNA2,MCM10,NME4","DNAJB9,DUSP5,MKNK2,SAT1,SQSTM1,ZC3H12A"
S1030,BRD-K02130563,NEU,10.0,24.0,0.0753,273,6918837,,"C5ORF13,CADM1,CDH2,CHN1,H2AFY2,MAP4K4,NME4","CAV2,CIB1,DUSP5,SAT1,SQSTM1"
trichostatin A,BRD-A19037878,NPC,10.0,24.0,0.0753,321,6376322,,"C5ORF13,CADM1,CDH2,MAP4K4,NME4,ZEB2","CAV2,DUSP5,SAT1,SGCE,SQSTM1"
vorinostat,BRD-K81418486,NPC,10.0,24.0,0.0753,297,5311,DB02546,"C5ORF13,CADM1,CDH2,LEF1,MAP4K4,NME4","CAV2,HLA-E,S100A6,SAT1,SQSTM1"
dovitinib,BRD-K85402309,HA1E,10,24,0.0753,273,9886808,,"BZW2,C5ORF13,CDH2,DBN1,LAPTM4B,NME4","CBX7,DUSP5,SAT1,SQSTM1,TAP1,WBP2"
JW-7-24-1,BRD-K57282030,HA1E,10,24,0.0753,311,69923936,,"CDH2,KPNA2,LAPTM4B,NME4,TPM2","AIM2,DUSP5,HLA-E,IFIH1,SAT1,SQSTM1,TAP1"
QL-XII-47,BRD-K99252563,HCC515,10,24,0.0753,266,71748056,,"BAMBI,C5ORF13,LAPTM4B,MCM10","DNAJB9,DUSP5,HLA-DPA1,SAT1,SQSTM1,SWAP70,ZBTB43"
ARP 101,BRD-K73395020,HA1E,10.0,24.0,0.0685,239,11292680,,"C5ORF13,CDH2,CXCL10,NME4,RPL37A","CTH,DNAJB9,DUSP5,ENO2,SAT1,SQSTM1"
IKK 16,BRD-K14618467,HCC515,10.0,24.0,0.0685,299,9549298,,"CADM1,CDH2,H2AFY2,LAPTM4B,MCM10,MGST2","DNAJB9,DUSP5,ENO2,SAT1,SLC2A3"
IMD 0354,BRD-K74305673,HCC515,10.0,24.0,0.0685,409,5081913,,"CADM1,CCNB1,KPNA2,MCM10,NME4,SPAG6","DNAJB9,DUSP5,SAT1,SQSTM1,WBP2"
IMD 0354,BRD-K74305673,PC3,10.0,24.0,0.0685,327,5081913,,"C5ORF13,MCM10,NME4","CTH,DNAJB9,HLA-E,MKNK2,SAT1,SGCE,SQSTM1"
CGP 71683 hydrochloride,BRD-K31912990,HCC515,10.0,24.0,0.0685,390,5312114,,"BAMBI,BZW2,CDH2,LAPTM4B,MCM10,MGST2,NME4","CTH,DNAJB9,SAT1"
MITOMYCIN C,BRD-A48237631,HCC515,10.0,24.0,0.0685,340,5702003,,"BZW2,CDH2,LAPTM4B,LPP,NME4,PRKCA","ALOX5,CD37,DUSP5,SAT1"
NSC 663284,BRD-K03109492,HCC515,10.0,24.0,0.0685,331,379077,,"CADM1,CDH2,LAPTM4B,MAP4K4,MGST2,TPM2","DNAJB9,DUSP5,SAT1,SLC2A3"
-666,BRD-K19295594,A375,11.1,24.0,0.0685,533,227456,,"CCNB1,KPNA2,LAPTM4B,MCM10,NME4","CTH,DNAJB9,DUSP5,ENO2,SAT1,SLC2A3,SQSTM1"
PERHEXILINE MALEATE,BRD-A19633847,HA1E,10.0,24.0,0.0685,353,5284439,,"C5ORF13,CDH2,NME4,TPM2","ALOX5,DUSP5,HLA-DPA1,HLA-E,IFIH1,SH2B3,SQSTM1"
QUINACRINE HYDROCHLORIDE,BRD-A45889380,HA1E,10.0,24.0,0.0685,234,23581813,,"BZW2,C5ORF13,CDH2,LAPTM4B,NME4","ATF5,DUSP3,MNDA,SQSTM1,TRAM2"
-666,BRD-K04853698,HCC515,10.0,24.0,0.0685,427,25195294,,"C5ORF13,CCNB1,KPNA2,LAPTM4B,MCM10,MGST2","DNAJB9,DUSP5,SAT1,SQSTM1,SWAP70,ZC3H12A"
PERHEXILINE MALEATE,BRD-A19633847,HT29,10.0,24.0,0.0685,426,5284439,,"GZMK,MCM10,NME4","CTH,DNAJB9,DUSP3,DUSP5,HLA-E,SAT1,SQSTM1"
Ro 28-1675 ?,BRD-K21672174,HT29,160.0,24.0,0.0685,520,9886086,,"CCNB1,MCM10,NME4","AIM2,CTH,DNAJB9,DUSP5,HLA-E,SAT1,SLC2A3,SQSTM1,TAP1"
MK-2206,BRD-K68065987,HT29,10.0,24.0,0.0685,393,24964624,,"KPNA2,LAPTM4B,MCM10","DNAJB9,DUSP3,DUSP5,HLA-E,SLC2A3,SQSTM1,SWAP70"
IMD 0354,BRD-K74305673,HT29,10.0,24.0,0.0685,354,5081913,,"CDH2,MCM10,NME4","DNAJB9,DUSP3,DUSP5,SAT1,SLC2A3,SQSTM1,WBP2"
