drug,approved,odds_ratio,pvalue,adj_pvalue,pvalue_up,adj_pvalue_up,pvalue_down,adj_pvalue_down,count_significant,count_insignificant,count_up_significant
bortezomib,True,0.018104470556514724,0.9999999228701942,1,1.379297999661127e-24,7.347520444194823e-21,1.0000000000993325,1,79,16943,79
sirolimus,True,0.03171434853883512,0.9999999982042552,1,8.301961587300555e-10,1.4741516458516686e-06,0.9999999999906444,1,30,3784,30
vorinostat,True,0.014853498286153273,0.9999999623104824,1,5.711339584939153e-08,5.0707176614951445e-05,0.9999999999920491,1,24,6464,24
mitoxantrone,True,0.021034179489989202,0.9999999972979966,1,3.649803736054475e-06,0.002160278277995799,1.0000000000016414,1,18,3462,18
selumetinib,True,0.029228379748819894,1.0000000137246545,1,1.4458160376758068e-05,0.006418218360582519,1.0000000000014484,1,16,2226,16
gefitinib,True,0.0304620798643056,1.0000000188724891,1,2.8962402925800216e-05,0.011073493991006267,1.0000000000001696,1,15,2007,15
ibrutinib,True,0.027643653769281903,1.0000000152660984,1,2.9102480922486903e-05,0.011073493991006267,0.9999999999953133,1,15,2211,15
TUL,True,0.23849629650400803,0.9999999887080662,1,4.17990916627283e-05,0.014844250752490244,1.0000000000000522,1,14,240,14
idelalisib,True,0.04631865634425954,1.000000018858774,1,5.6704510503763805e-05,0.015779533913431048,0.9999999999993573,1,14,1236,14
pazopanib,True,0.03941790770355654,1.0000000319355953,1,5.732853738277141e-05,0.015779533913431048,1.000000000005224,1,14,1452,14
fostamatinib,True,0.031641696224979005,1.0000000247153058,1,5.8039953349657536e-05,0.015779533913431048,1.0000000000052855,1,14,1808,14
afatinib,True,0.024493012686164047,1.0000000102760422,1,5.87017362761631e-05,0.015779533913431048,1.0000000000011393,1,14,2334,14
everolimus,True,0.04460569707245735,1.0000000158996085,1,0.00011436000002017082,0.02850141394204471,1.0000000000003206,1,13,1195,13
dasatinib,True,0.022907620172386997,0.9999999882833279,1,0.00013258625917790374,0.03070813054959536,0.9999927077112456,1,17,3009,16
temozolomide,True,0.04299452190878965,1.0000000155353623,1,0.00023050606703862428,0.04086425582437103,0.9999999999989305,1,12,1148,12
cabozantinib,True,0.033609514382931215,1.0000000331625034,1,0.0002334108295123127,0.04086425582437103,1.000000000001534,1,12,1468,12
trametinib,True,0.032035218208133494,1.0000000310077433,1,0.00023390165888664195,0.04086425582437103,0.9999999999958035,1,12,1540,12
erlotinib,True,0.021846827781671872,1.0000000170945111,1,0.00023710318582465128,0.04086425582437103,0.999999999997287,1,12,2256,12
