drug,pert_id,cell_line,dose,time,score,deg_count,pubchem_id,drugbank_id,up_dn_overlap,dn_up_overlap
DL-PDMP,BRD-K05653692,HT29,64.0,24.0,0.1719,508,16219895,,"BUB1,CCNB1,CCNF,CDC20,CENPF,CHEK1,CSE1L,CTPS,DNAJC9,HMMR,HN1,KIAA0101,KPNA2,LSM6,MCM10,MCM4,NME1,NME4,OIP5,PDSS1,POLA2,POLE2,QDPR,RANBP1,RNASEH2A,SPC25,TACC3,TIMELESS,TK1,TPX2,TRIP13,TYMS","ARMCX3,ASS1,CCPG1,CEBPG,DDIT3,DNAJB2,DNAJB9,GCNT3,GOLGB1,GULP1,HLA-E,HMGCR,LDLR,LHFPL2,MKNK2,NEU1,NFE2L1,OPTN,P2RX4,PPAP2C,RAP1GAP,RHOQ,RRAGC,SCD,SLC7A11,SLC7A7,SQSTM1,TPP1,WARS"
niguldipine hydrochloride,BRD-A43331270,HT29,10.0,24.0,0.1605,422,71317558,,"BUB1,CCNB1,CCNF,CDC20,CENPF,CSE1L,CTPS,DNAJC9,HMMR,KIAA0101,KPNA2,LSM6,MCM10,MCM4,NME1,OIP5,PDSS1,POLA2,POLE2,RANBP1,RNASEH2A,SPC25,TACC3,TIMELESS,TK1,TPX2,TRIP13,TUBG1,TYMS","ARMCX3,ASS1,CBS,CCPG1,CEBPG,DDIT3,DNAJB2,DNAJB9,GULP1,HMGCR,INHBE,JUND,LDLR,LHFPL2,NEU1,NFE2L1,PPAP2C,RAP1GAP,RHOQ,RRAGC,SCD,SLC38A1,SLC7A11,SQSTM1,TPP1,WARS,WBP2"
MK-2206,BRD-K68065987,HT29,10.0,24.0,0.1519,393,24964624,,"BOP1,BUB1,CCNF,CDC20,CENPF,CSE1L,CTPS,DNAJC9,HMMR,HN1,KIAA0101,KPNA2,LSM4,LSM6,MCM10,MCM4,NME1,OIP5,PDSS1,POLA2,POLE2,RANBP1,RNASEH2A,RRS1,SPC25,TACC3,TIMELESS,TK1,TPX2,TRIP13,TYMS","ABCC3,ASS1,CBS,CCPG1,CTDSP2,DDIT3,DNAJB2,DNAJB9,GULP1,HLA-E,LDLR,NEU1,OPTN,RAP1GAP,RHOQ,RRAGC,SCD,SLC38A1,SLC7A11,SQSTM1,SWAP70,TPP1,WARS"
GW405833 hydrochloride,BRD-K10705233,HT29,40.0,24.0,0.149,464,9911463,,"BUB1,CCNF,CENPF,CHEK1,CSE1L,CTPS,DNAJC9,HMMR,KIAA0101,KPNA2,LSM6,MARCKSL1,MCM10,MCM4,NME1,NME4,OIP5,PA2G4,PDSS1,POLA2,RANBP1,RNASEH2A,SCML1,SPC25,TACC3,TIMELESS,TK1,TPX2,TRIP13,TYMS","ARMCX3,CCPG1,CEBPG,DDIT3,DNAJB2,DNAJB9,GCNT3,GOLGB1,GULP1,INHBE,LDLR,LHFPL2,NEU1,P2RX4,PDGFRL,PIR,PLAU,RAP1GAP,RHOQ,RRAGC,SLC7A11,SQSTM1,TPP1,WARS"
-666,BRD-A62809825,A375,10.0,24.0,0.1461,464,5353993,,"ADI1,BUB1,C20ORF27,CCNB1,CCNF,CENPF,CSE1L,DNAJC9,DTYMK,H2AFZ,HMMR,KIAA0101,KPNA2,LSM6,MARCKSL1,MCM10,MCM4,NME4,OIP5,PAFAH1B3,POLE2,QDPR,RANBP1,RNASEH2A,SFPQ,SPC25,SYNCRIP,TACC3,TK1,TPX2,TRIP13,TUBG1,TYMS","ABCC3,ARMCX3,ASS1,CCPG1,CEBPG,DDIT3,DNAJB9,GOLGB1,HAX1,INHBE,MOCOS,OPTN,RAP1GAP,RNASE4,SLC38A1,SLC7A11,SQSTM1,TPP1,TTC17,WARS"
PERHEXILINE MALEATE,BRD-A19633847,HT29,10.0,24.0,0.1433,426,5284439,,"BUB1,CCNF,CENPF,CSE1L,DNAJC9,DTYMK,HMMR,HN1,KIAA0101,LSM4,LSM6,MARCKSL1,MCM10,MCM4,NME1,NME4,OIP5,PDSS1,POLE2,POLR2L,RANBP1,RNASEH2A,SEPW1,SPC25,STRA13,TACC3,TK1,TMEM106C,TPX2,TRIP13,TYMS","ARMCX3,CCPG1,CEBPG,DDIT3,DNAJB2,DNAJB9,GOLGB1,GULP1,HLA-B,HLA-E,HMGCR,KLF9,LDLR,NEU1,OPTN,RAP1GAP,RRAGC,SLC7A11,SQSTM1,TPP1,WARS"
WH-4-025,BRD-U60236422,HT29,10,24,0.1433,368,,,"BOP1,BUB1,CCNF,CHEK1,CSE1L,DDX56,DNAJC9,EMG1,KIAA0101,MCM10,MCM4,MRTO4,NME1,OIP5,PA2G4,PDSS1,PFAS,POLA2,POLD2,POLE2,RANBP1,RANGAP1,RNASEH2A,RRS1,SPC25,TK1,TPX2,TRIP13,TUBG1,TYMS","ARMCX3,ASS1,C14ORF132,CAMLG,CBS,CCPG1,DDIT3,DNAJB2,DNAJB9,GULP1,HLA-E,HMGCR,MKNK2,NEU1,NFE2L1,OPTN,RAP1GAP,RHOQ,RRAGC,SCD,TPP1"
Pimozide,BRD-K01292756,HT29,10.0,24.0,0.1375,373,16362,DB01100,"BUB1,CCNF,CENPF,CHEK1,CSE1L,CTPS,DNAJC9,HN1,KPNA2,LSM6,MCM10,MCM4,NME1,OIP5,PDSS1,POLA2,POLR2L,RANBP1,SPC25,TACC3,TPX2,TRIP13,TYMS","ARMCX3,ASS1,CBS,CCPG1,CEBPG,COL16A1,DDIT3,DNAJB9,GDF15,HMGCR,LDLR,LSS,MKNK2,NEU1,NFE2L1,OPTN,RAP1GAP,RHOQ,RNASE4,RRAGC,SCD,SLC38A1,SLC7A11,SLC7A7,WARS"
Tyrphostin AG 1478,BRD-K68336408,HT29,56.78,24.0,0.1375,505,2051,,"BOP1,BUB1,CCNB1,CCNF,CDC20,CENPF,CSE1L,CTPS,HMMR,HN1,KIAA0101,KPNA2,LSM6,MARCKSL1,MCM10,MCM4,NME1,NME4,OIP5,PA2G4,PDSS1,POLA2,POLE2,POLR2L,RANBP1,SPC25,SYNCRIP,TACC3,TIMELESS,TK1,TPX2,TRIP13,TYMS","ARL1,ARMCX3,CCPG1,CEBPG,DDIT3,DNAJB2,DNAJB9,GOLGB1,GULP1,NEU1,NFE2L1,NRBF2,OPTN,RHOQ,RRAGC,SLC7A11,SQSTM1,TPP1,WARS"
PF 750,BRD-K83213911,HT29,80.0,24.0,0.1375,398,25154868,,"BUB1,CCNB1,CCNF,CENPF,CHEK1,CSE1L,DNAJC9,HMMR,HN1,KIAA0101,KPNA2,LSM6,MCM10,MCM4,NME1,OIP5,PA2G4,PDSS1,POLA2,POLE2,POLR2L,SPC25,TACC3,TIMELESS,TPX2,TRIP13,TYMS","ARMCX3,ASS1,CBS,CCPG1,CEBPG,DDIT3,DNAJB2,DNAJB9,GULP1,HLA-E,HMGCR,INHBE,LDLR,LITAF,P2RX4,RAP1GAP,RHOQ,RRAGC,SCD,SLC38A1,SLC7A11,SQSTM1"
