drug,approved,odds_ratio,pvalue,adj_pvalue,pvalue_up,adj_pvalue_up,pvalue_down,adj_pvalue_down,count_significant,count_insignificant,count_up_significant
bortezomib,True,0.0035046398888287766,0.9999999797322403,1,3.8932610514866827e-19,3.078271738042137e-16,1.0000000001002234,1,61,16961,61
colchicine,True,0.15750800524136785,0.9999999932915001,1,1.9889540654206951e-16,1.0483997873728642e-13,0.999999999999517,1,47,303,47
paclitaxel,True,0.04679003400115384,1.0000000037605343,1,5.03841995807166e-15,2.172933116462905e-12,1.00000000000185,1,46,998,46
vorinostat,True,0.007157803917940585,0.9999999728298914,1,1.210178344514205e-14,4.784238388646157e-12,1.0000000000010465,1,46,6442,46
KX-2391,True,0.10800997481599708,0.9999999931821806,1,9.522789809925016e-11,2.8235071786427674e-08,0.9999999999997649,1,31,293,31
sirolimus,True,0.008043261602981628,0.9999999919345233,1,8.301961587300555e-10,2.1880280983418796e-07,0.9999999999906444,1,30,3784,30
docetaxel,True,0.04595380893162495,0.9999999964535724,1,9.928494288805007e-10,2.3867243214325803e-07,0.9999999999998362,1,29,645,29
vinblastine,True,0.12610486109875577,0.9999999938918736,1,1.4997606865687828e-09,3.093419433514046e-07,0.9999999999992986,1,27,219,27
estradiol,True,0.020245505493525225,1.0000000274954974,1,5.7594964612917e-09,1.092922048494713e-06,1.0000000000033593,1,27,1363,27
mebendazole,True,0.044303564643913676,0.9999999985390271,1,7.41814177596679e-08,1.0997395182870766e-05,0.9999999999998246,1,23,533,23
carbamazepine,True,0.029980584187203903,1.000000000648067,1,2.9809840191258857e-06,0.0003074301779724609,0.9999999999994207,1,18,620,18
pemetrexed,True,0.07116348491995816,0.999999993602546,1,4.4022175795451626e-06,0.0004350858374450469,0.9999999999995337,1,17,247,17
everolimus,True,0.014749003942252072,1.0000000069926684,1,6.806397818002888e-06,0.000645791024972114,0.9999999999994285,1,17,1191,17
albendazole,True,0.03873820901159046,0.999999994746535,1,1.1531106955567795e-05,0.0010519917576387234,0.9999999999994631,1,16,428,16
nimodipine,True,0.023546383366573158,1.0000000125274229,1,1.2868834455032458e-05,0.0011305509380495182,1.0000000000008964,1,16,704,16
cabazitaxel,True,0.05072439948810185,0.9999999943008578,1,2.1687018047964833e-05,0.0017738485106818132,0.9999999999996365,1,15,307,15
ingenol,True,0.06743671574085099,0.9999999889689002,1,8.286846302047585e-05,0.005781293949546139,1.0000000000001807,1,13,201,13
amisulpride,True,0.09497340538805166,0.9999999946525602,1,0.00014826663775035752,0.009635300403941041,1.0000000000000118,1,12,132,12
AZD-5363,True,0.014840665431457279,1.0000000110168767,1,0.00022582806164205463,0.013061755089291315,0.9999999999991267,1,12,846,12
crizotinib,True,0.006692624657466021,1.0000000209952886,1,0.00023568523778455256,0.013061755089291315,1.0000000000012648,1,12,1872,12
olaparib,True,0.006306836335448872,1.0000000157468925,1,0.00023616245676868575,0.013061755089291315,1.000000000001483,1,12,1986,12
mitoxantrone,True,0.0035993108262366903,0.9999999910421329,1,0.00023953893186516535,0.013061755089291315,1.0000000000014817,1,12,3468,12
ingenol-mebutate,True,0.038639851961707064,0.9999999949496068,1,0.0004063501124254806,0.020716003091468812,0.9999999999995188,1,11,299,11
valdecoxib,True,0.021843829188986433,1.0000000003512488,1,0.0004401049821766983,0.020817837270567807,1.0000000000023472,1,11,529,11
clozapine,True,0.02037931637399824,0.9999999976746758,1,0.00044317726188644824,0.020817837270567807,1.000000000001393,1,11,567,11
digitoxin,True,0.019617738329187857,0.9999999971020703,1,0.00044478335010752205,0.020817837270567807,1.0000000000002554,1,11,589,11
lenalidomide,True,0.017639726702506422,0.9999999976477842,1,0.0004489819221833035,0.020817837270567807,1.0000000000006422,1,11,655,11
flutamide,True,0.015847573480276083,1.0000000123756576,1,0.00045282009445957394,0.020817837270567807,0.9999999999994019,1,11,729,11
axitinib,True,0.015341930364507726,1.0000000120759798,1,0.0004539089131421314,0.020817837270567807,0.9999999999979957,1,11,753,11
ixabepilone,True,0.03359592185623139,0.9999999931821806,1,0.0008463501362726399,0.03522004426734565,0.9999999999998485,1,10,314,10
estradiol-cypionate,True,0.017820985306807063,0.9999999987832414,1,0.0009051368917519881,0.0363055954600307,0.9999999999994016,1,10,592,10
