signature,n_l2s2_hits,n_l1000cds2_hits
GSE22206_case_v_control_100,100,50
GSE22206_case_v_control_150,100,50
GSE22206_case_v_control_250,100,50
GSE22206_LCL_case_v_control_100,100,50
GSE22206_LCL_case_v_control_150,100,50
GSE22206_LCL_case_v_control_250,100,50
GSE22206_fibro_case_v_control_100,100,50
GSE22206_fibro_case_v_control_150,100,50
GSE22206_fibro_case_v_control_250,100,50
GSE134781_hetL1002P_v_WT_100,7,50
GSE134781_hetL1002P_v_WT_150,7,50
GSE134781_hetL1002P_v_WT_250,7,50
GSE134781_hetX753_v_WT_100,1,50
GSE134781_hetX753_v_WT_150,2,50
GSE134781_hetX753_v_WT_250,0,50
GSE134780_HL1002P_v_WT_muscle_100,3,50
GSE134780_HL1002P_v_WT_muscle_150,72,50
GSE134780_HL1002P_v_WT_muscle_250,8,50
GSE134780_HL1002P_v_WT_fat_100,0,50
GSE134780_HL1002P_v_WT_fat_150,0,50
GSE134780_HL1002P_v_WT_fat_250,100,50
GSE134780_HH_v_WT_muscle_100,0,50
GSE134780_HH_v_WT_muscle_150,0,50
GSE134780_HH_v_WT_muscle_250,0,50
GSE134780_HH_v_WT_fat_100,100,50
GSE134780_HH_v_WT_fat_150,100,50
GSE134780_HH_v_WT_fat_250,100,50
