drug,approved,odds_ratio,pvalue,adj_pvalue,pvalue_up,adj_pvalue_up,pvalue_down,adj_pvalue_down,count_significant,count_insignificant,count_up_significant
afatinib,True,2.9828636315110106,0.00222103494600634,0.6538851029349727,0.005768186592499976,1,0.9995230736486953,1,11,2337,10
dasatinib,True,1.9044942318774167,0.06801196575025932,1,0.019391948836728946,1,0.9980700381528579,1,9,3017,8
cabozantinib,True,2.665819596185178,0.03840691303611128,1,0.10889927281183243,1,0.9845331467608195,1,6,1474,5
panobinostat,True,2.7997953322047437,0.049907474169863575,1,0.1869745688685169,1,0.9690120535364075,1,5,1187,4
mitoxantrone,True,1.3035591176062844,0.3547473398501713,1,0.22632650672314492,1,0.9376886317190951,1,7,3473,5
fostamatinib,True,2.1630294731487387,0.08500772607255319,1,0.3434921615605793,1,0.891011332340161,1,6,1816,4
sirolimus,True,1.3485619753054938,0.29944023527240377,1,0.3631376566854454,1,0.8557270822482146,1,8,3806,5
lapatinib,True,1.7788774662558196,0.20103892174118446,1,0.49999999999849465,1,0.8128343140567624,1,5,1867,3
selumetinib,True,1.4840593345756956,0.31449064578720465,1,0.812779080193429,1,0.49999999999984596,1,5,2237,2
trifluoperazine,True,2.402586030908708,0.08301384516803463,1,0.8129511008605708,1,0.49999999999930705,1,5,1383,2
neratinib,True,3.923162257105879,0.007228306801712456,1,0.8913239309467436,1,0.3432831166045113,1,6,1002,2
bortezomib,True,0.6513478217544599,0.9842025907322127,1,0.9519611499977194,1,0.11881740143384781,1,18,17004,6
vorinostat,True,0.7895743900131565,0.840080576410948,1,0.9649280336953453,1,0.14437944569429215,1,8,6480,2
ciprofloxacin,True,0,1,1,1,1,1,1,1,357,1
calcitriol,True,0,1,1,1,1,1,1,4,1330,1
phentolamine,True,0,1,1,1,1,1,1,2,366,2
chlorambucil,True,0,1,1,1,1,1,1,1,431,0
cefazolin,True,0,1,1,1,1,1,1,1,29,1
maraviroc,True,0,1,1,1,1,1,1,1,579,1
zafirlukast,True,0,1,1,1,1,1,1,1,389,1
nateglinide,True,0,1,1,1,1,1,1,1,397,1
amcinonide,True,0,1,1,1,1,1,1,1,317,1
PA-824,True,0,1,1,1,1,1,1,1,319,0
bexarotene,True,0,1,1,1,1,1,1,1,443,1
telmisartan,True,0,1,1,1,1,1,1,1,439,1
bimatoprost,True,0,1,1,1,1,1,1,3,343,2
adapalene,True,0,1,1,1,1,1,1,1,335,1
pazopanib,True,0,1,1,1,1,1,1,2,1464,2
aminoglutethimide,True,0,1,1,1,1,1,1,1,295,1
piperacillin,True,0,1,1,1,1,1,1,1,31,1
ingenol-mebutate,True,0,1,1,1,1,1,1,1,309,0
procaine,True,0,1,1,1,1,1,1,1,277,1
amikacin,True,0,1,1,1,1,1,1,1,275,1
isoniazid,True,0,1,1,1,1,1,1,1,309,0
simvastatin,True,0,1,1,1,1,1,1,2,1298,1
miglitol,True,0,1,1,1,1,1,1,2,340,2
methocarbamol,True,0,1,1,1,1,1,1,1,285,1
tyloxapol,True,0,1,1,1,1,1,1,1,7,0
argatroban,True,0,1,1,1,1,1,1,2,384,2
belinostat,True,0,1,1,1,1,1,1,1,773,0
cyclobenzaprine,True,0,1,1,1,1,1,1,1,345,1
lisinopril,True,0,1,1,1,1,1,1,2,486,1
promazine,True,0,1,1,1,1,1,1,1,173,0
oxymetazoline,True,0,1,1,1,1,1,1,1,257,0
promethazine,True,0,1,1,1,1,1,1,2,146,0
nepafenac,True,0,1,1,1,1,1,1,1,463,0
olaparib,True,0,1,1,1,1,1,1,4,1994,1
diclofenac,True,0,1,1,1,1,1,1,1,319,1
vilazodone,True,0,1,1,1,1,1,1,1,285,0
ivermectin,True,0,1,1,1,1,1,1,1,479,1
dabrafenib,True,0,1,1,1,1,1,1,1,1303,1
dimethyl-fumarate,True,0,1,1,1,1,1,1,2,238,1
thiothixene,True,0,1,1,1,1,1,1,1,375,0
piperazine,True,0,1,1,1,1,1,1,1,129,1
digitoxin,True,0,1,1,1,1,1,1,1,599,0
tretinoin,True,0,1,1,1,1,1,1,1,987,0
GDC-0199,True,0,1,1,1,1,1,1,4,1116,2
retapamulin,True,0,1,1,1,1,1,1,1,215,1
celecoxib,True,0,1,1,1,1,1,1,1,585,1
gefitinib,True,0,1,1,1,1,1,1,1,2021,1
palonosetron,True,0,1,1,1,1,1,1,1,253,1
ISOX,True,0,1,1,1,1,1,1,1,217,0
acetazolamide,True,0,1,1,1,1,1,1,1,343,1
caffeine,True,0,1,1,1,1,1,1,1,617,1
dolutegravir,True,0,1,1,1,1,1,1,2,238,1
primaquine,True,0,1,1,1,1,1,1,1,343,0
metronidazole,True,0,1,1,1,1,1,1,1,233,0
tipiracil,True,0,1,1,1,1,1,1,2,310,0
pentamidine,True,0,1,1,1,1,1,1,2,368,2
ibrutinib,True,0,1,1,1,1,1,1,4,2222,4
dorzolamide,True,0,1,1,1,1,1,1,2,344,0
enasidenib,True,0,1,1,1,1,1,1,1,137,0
methylprednisolone,True,0,1,1,1,1,1,1,2,384,2
raltegravir,True,0,1,1,1,1,1,1,1,333,1
oxybutynin,True,0,1,1,1,1,1,1,1,335,1
doxazosin,True,0,1,1,1,1,1,1,2,344,1
daunorubicin,True,0,1,1,1,1,1,1,1,1243,0
hydrocortisone,True,0,1,1,1,1,1,1,3,649,2
nisoldipine,True,0,1,1,1,1,1,1,1,85,0
pravastatin,True,0,1,1,1,1,1,1,1,549,0
loperamide,True,0,1,1,1,1,1,1,1,475,1
ivosidenib,True,0,1,1,1,1,1,1,1,137,1
methyldopa,True,0,1,1,1,1,1,1,1,331,1
colchicine,True,0,1,1,1,1,1,1,1,349,0
eptifibatide,True,0,1,1,1,1,1,1,2,426,1
gemfibrozil,True,0,1,1,1,1,1,1,1,329,0
emtricitabine,True,0,1,1,1,1,1,1,1,287,1
VX-809,True,0,1,1,1,1,1,1,1,323,0
dehydroepiandrosterone,True,0,1,1,1,1,1,1,1,341,0
droperidol,True,0,1,1,1,1,1,1,2,378,2
desvenlafaxine,True,0,1,1,1,1,1,1,1,291,0
idoxuridin,True,0,1,1,1,1,1,1,1,347,0
atorvastatin,True,0,1,1,1,1,1,1,3,1051,1
prednisolone,True,0,1,1,1,1,1,1,1,59,0
nortriptyline,True,0,1,1,1,1,1,1,1,343,0
dydrogesterone,True,0,1,1,1,1,1,1,1,47,1
fluocinolone-acetonide,True,0,1,1,1,1,1,1,1,371,1
isotretinoin,True,0,1,1,1,1,1,1,1,83,1
brexpiprazole,True,0,1,1,1,1,1,1,1,299,1
elvitegravir,True,0,1,1,1,1,1,1,1,219,1
