drug,approved,odds_ratio,pvalue,adj_pvalue,pvalue_up,adj_pvalue_up,pvalue_down,adj_pvalue_down,count_significant,count_insignificant,count_up_significant
bortezomib,True,1.0407894755315625,0.41632830081383265,1,1.1776934998550301e-05,0.02629652675009171,0.9999965967184474,1,64,16958,49
troglitazone,True,1.3213692027426351,0.27752727617762474,1,0.0009565607266929638,0.729090585885377,1.0000000000024052,1,10,2174,10
roflumilast,True,4.899222486238199,0.00020068119259242955,0.12746600416162482,0.0018252099194502505,0.9936964290035578,1.000000000002169,1,9,531,9
idarubicin,True,3.1025493146168914,0.0073712991597866305,1,0.003763196660209576,1,1.000000000001269,1,8,750,8
estradiol,True,1.2842695686768812,0.39522140078055445,1,0.015456628378269563,1,0.9999999999984903,1,6,1384,6
sirolimus,True,2.437969367767727,8.26171287106561e-06,0.014809876643452357,0.017152318105836,1,0.993430998925098,1,33,3781,23
fostamatinib,True,1.8913877093934222,0.038164265000046334,1,0.018978177721162004,1,0.9969052624876257,1,12,1810,10
dicloxacillin,True,4.097583100092405,0.012360090902610695,1,0.030411105997849117,1,0.9999999999999495,1,5,367,5
lenalidomide,True,2.2756339923775144,0.09872904480868772,1,0.03078113836629142,1,1.000000000000317,1,5,661,5
dexamethasone,True,1.6189874608180863,0.25600420244880234,1,0.030915598596817244,1,0.9999999999981188,1,5,929,5
mitoxantrone,True,0.9059259017927386,0.7205294515876891,1,0.03250654275178948,1,0.9942022196119501,1,11,3469,9
baricitinib,True,3.472939524057614,0.006952633201367612,1,0.06140076934617211,1,0.9924600061111074,1,7,591,6
docetaxel,True,3.077238670550155,0.012775981119924505,1,0.06152489941981226,1,0.9924294640485755,1,7,667,6
simvastatin,True,1.5867933636931109,0.19982883275047617,1,0.06199480519912706,1,0.9923133125642823,1,7,1293,6
dabrafenib,True,1.5818939331473842,0.20183927146691452,1,0.06199635605656212,1,0.9923129278306981,1,7,1297,6
calcitriol,True,1.5460893376055906,0.21715952122841503,1,0.06200769081402975,1,0.9923101156436952,1,7,1327,6
sorafenib,True,1.4920505587289905,0.24249026551051145,1,0.06202480212036597,1,0.9923058693527328,1,7,1375,6
cytarabine,True,3.0979933235844714,0.020724551696325415,1,0.10815852322044556,1,0.9847776893250992,1,6,574,5
flutamide,True,2.4226769730190756,0.05597000468302075,1,0.1084222572755908,1,0.9846908611577853,1,6,734,5
midostaurin,True,2.297444809236048,0.06833713903467198,1,0.10847124136490811,1,0.9846747053481267,1,6,774,5
decitabine,True,1.6492565990648682,0.20652665067712647,1,0.10872516211002978,1,0.9845908123367212,1,6,1078,5
pazopanib,True,1.2173291866947467,0.44370985357893017,1,0.10889472351071927,1,0.9845346549515143,1,6,1460,5
everolimus,True,1.938532732349985,0.07810913784444375,1,0.1437140019479247,1,0.965296269343509,1,8,1200,6
gefitinib,True,1.4280127587609446,0.20790008608398236,1,0.1712649507417836,1,0.9457473853145044,1,10,2012,7
repaglinide,True,4.010245992399015,0.013437036576505839,1,0.1858443621705544,1,0.9695712576029802,1,5,375,4
bexarotene,True,3.426011415337428,0.024374573882077116,1,0.1860843660262448,1,0.969453018227178,1,5,439,4
vardenafil,True,2.843380173251843,0.04747611118745452,1,0.18632407966861145,1,0.9693346477149327,1,5,529,4
fulvestrant,True,0.8702810626929463,0.7550232862266257,1,0.1871386237886037,1,0.9689303748603757,1,5,1727,4
dasatinib,True,1.134322145432675,0.423522025595429,1,0.1933673793959124,1,0.9274016535832019,1,12,3014,8
paclitaxel,True,1.7128632393073204,0.18447420738198225,1,0.3432992780143444,1,0.891299783652839,1,6,1038,4
ibrutinib,True,1.9210255197256403,0.0188393562333082,1,0.4999999999976566,1,0.697000952622932,1,15,2211,8
erlotinib,True,0.9065383585171446,0.718388039540282,1,0.49999999999801875,1,0.7737998289810383,1,7,2261,4
