drug,approved,odds_ratio,pvalue,adj_pvalue,pvalue_up,adj_pvalue_up,pvalue_down,adj_pvalue_down,count_significant,count_insignificant,count_up_significant
bortezomib,True,0.036788863393053414,0.9999997435186585,1,4.2082423655706483e-26,2.3317870947626964e-22,1.0000000000978884,1,84,16938,84
vorinostat,True,0.04113366945678652,0.9999998640300491,1,2.6540485602389665e-11,4.902027690761371e-08,0.999999999996177,1,35,6453,35
sirolimus,True,0.06448112421173316,0.9999999166345442,1,2.042162783116247e-10,2.8289059953117814e-07,0.9999999999970515,1,32,3782,32
lapatinib,True,0.07095338757247921,0.9999999863484638,1,7.0901884577623265e-06,0.004365192693829006,0.9999999999944421,1,17,1855,17
mitoxantrone,True,0.035750997962382645,0.9999999200183869,1,1.4739316592588722e-05,0.007424595749048555,1.0000000000076936,1,16,3464,16
dasatinib,True,0.048703051064316744,0.9999999287793151,1,3.645072669701044e-05,0.014426676902009631,0.9999981980746773,1,19,3007,18
pazopanib,True,0.07514004767640507,1.0000000023797904,1,5.732853738277141e-05,0.017095616488180868,1.000000000005224,1,14,1452,14
trametinib,True,0.07093157103235986,0.999999999869601,1,5.752966668271712e-05,0.017095616488180868,0.9999999999956979,1,14,1538,14
selumetinib,True,0.04892364775213587,0.9999999659170162,1,5.8592994439627775e-05,0.017095616488180868,1.0000000000013225,1,14,2228,14
erlotinib,True,0.048357733564966095,0.9999999685910985,1,5.86205943467671e-05,0.017095616488180868,0.9999999999953543,1,14,2254,14
everolimus,True,0.08502572269149165,0.9999999809289432,1,0.00011436000002017082,0.026166989107690945,1.0000000000003206,1,13,1195,13
vandetanib,True,0.0751955663783731,0.9999999889191167,1,0.00011522453989975155,0.026166989107690945,1.0000000000029323,1,13,1351,13
imatinib,True,0.06070065511880156,0.9999999916653953,1,0.00011651125509938417,0.026166989107690945,0.9999999999994315,1,13,1673,13
gefitinib,True,0.050528171338162585,0.9999999678078049,1,0.0001174228282998206,0.026166989107690945,0.9999999999981852,1,13,2009,13
ibrutinib,True,0.045858739002216146,0.9999999673654169,1,0.00011784364637447311,0.026166989107690945,0.9999999999917644,1,13,2213,13
afatinib,True,0.0434560260548935,0.9999999606381031,1,0.0001180607702025399,0.026166989107690945,1.0000000000045592,1,13,2335,13
TUL,True,0.3886147883101155,0.9999654152127657,1,0.00018595016201014417,0.03855003743054525,0.9999999999998326,1,12,242,12
glibenclamide,True,0.12581788242387792,0.9999999670199917,1,0.00022353424304753536,0.03855003743054525,0.9999999999991561,1,12,748,12
idelalisib,True,0.07598895456116599,0.9999999834728326,1,0.00023147071514925723,0.03855003743054525,0.9999999999994529,1,12,1238,12
doxorubicin,True,0.06571021082917672,0.9999999839136455,1,0.00046831699498739064,0.06643330553023283,0.9999999999986589,1,11,1317,11
olaparib,True,0.04351937168842119,0.9999999707061965,1,0.00047495425263176537,0.06643330553023283,1.0000000000036666,1,11,1987,11
troglitazone,True,0.039785126361818975,0.9999999682041315,1,0.0004760803616748236,0.06643330553023283,1.000000000001998,1,11,2173,11
valproic-acid,True,0.07331464494657818,0.9999999785188713,1,0.0009366536771145713,0.1024427595651097,0.9999999999979995,1,10,1078,10
temozolomide,True,0.06871981498229772,0.9999999799329282,1,0.0009391027400550273,0.1024427595651097,1.0000000000008715,1,10,1150,10
cabozantinib,True,0.05374222121909856,1.0000000034520706,1,0.0009471303297284657,0.1024427595651097,0.999999999996443,1,10,1470,10
fostamatinib,True,0.04358144743358178,0.9999999896941352,1,0.0009526152096361543,0.1024427595651097,1.0000000000015465,1,10,1812,10
copanlisib,True,0.39032819963807275,0.9997743189924183,1,0.0016050852207308754,0.16780711713339208,1.0000000000002196,1,9,183,9
CYT-387,True,0.09373821022792199,0.9999999714816653,1,0.0018631683014264863,0.17400156238849074,1.000000000000362,1,9,763,9
fulvestrant,True,0.04147157903989025,0.9999999893975696,1,0.001912751617664873,0.17400156238849074,0.9999999999981757,1,9,1723,9
alpelisib,True,0.13732172132425538,0.9999999652052165,1,0.0036786796343884504,0.25403377807835636,0.999999999999381,1,8,466,8
anagrelide,True,0.07173525542333227,0.9999999693915959,1,0.0037856020174360347,0.25403377807835636,1.000000000001317,1,8,892,8
paclitaxel,True,0.06175711837996809,0.9999999753125759,1,0.0038021382913158916,0.25403377807835636,1.0000000000016531,1,8,1036,8
decitabine,True,0.059459165314167776,0.9999999769717303,1,0.0038059567772169467,0.25403377807835636,0.9999999999996352,1,8,1076,8
trifluoperazine,True,0.04634660067777851,1.0000000015074841,1,0.0038278191615183834,0.25403377807835636,0.9999999999995931,1,8,1380,8
estradiol,True,0.046279427955635784,1.0000000031101102,1,0.003827931479801315,0.25403377807835636,0.9999999999990206,1,8,1382,8
dinoprostone,True,0.4300307931851024,0.9976514418033455,1,0.006658983224485429,0.34779615350273363,1.0000000000000993,1,7,131,7
venlafaxine,True,0.15135360082629498,0.9999999619379498,1,0.007385343252872496,0.34779615350273363,1.0000000000003129,1,7,373,7
efavirenz,True,0.15135360082629498,0.9999999619379498,1,0.007385343252872496,0.34779615350273363,1.0000000000003129,1,7,373,7
ketotifen,True,0.1334752109840793,0.9999999621422336,1,0.007434537497222373,0.34779615350273363,1.00000000000071,1,7,423,7
bicalutamide,True,0.1334752109840793,0.9999999621422336,1,0.007434537497222373,0.34779615350273363,1.00000000000071,1,7,423,7
oxandrolone,True,0.12194972471686452,0.9999999609830309,1,0.007466423838535645,0.34779615350273363,1.0000000000003482,1,7,463,7
roflumilast,True,0.10593880436112028,0.9999999615765702,1,0.00751094569296119,0.34779615350273363,1.000000000001139,1,7,533,7
carbamazepine,True,0.08948672800507526,0.9999999640184755,1,0.00755696984285626,0.34779615350273363,0.9999999999994201,1,7,631,7
midostaurin,True,0.0730446353635584,0.9999999721681344,1,0.0076032469589166025,0.34779615350273363,1.000000000000014,1,7,773,7
sildenafil,True,0.07174470653687698,0.9999999749481344,1,0.007606917708850646,0.34779615350273363,0.9999999999989205,1,7,787,7
AZD-5363,True,0.06634652881386402,0.9999999717781805,1,0.007622180052562563,0.34779615350273363,0.9999999999985916,1,7,851,7
azacitidine,True,0.06379612987728737,0.9999999698603579,1,0.007629401454464251,0.34779615350273363,0.999999999999429,1,7,885,7
dexamethasone,True,0.06090379066153375,0.99999997070045,1,0.007637599314646996,0.34779615350273363,0.9999999999988408,1,7,927,7
lorazepam,True,0.057784601311211214,0.9999999733055611,1,0.007646449996110211,0.34779615350273363,1.0000000000010802,1,7,977,7
daunorubicin,True,0.04562795465536831,0.9999999804614932,1,0.007681042217029198,0.34779615350273363,1.0000000000002602,1,7,1237,7
simvastatin,True,0.04364925988583769,0.9999999849152849,1,0.007686687437087838,0.34779615350273363,1.00000000000137,1,7,1293,7
calcitriol,True,0.042529356974511344,0.999999990548881,1,0.007689884357987098,0.34779615350273363,1.0000000000016822,1,7,1327,7
raloxifene,True,0.03905133916946781,1.0000000034969538,1,0.007699821317650753,0.34779615350273363,0.9999999999968793,1,7,1445,7
cobicistat,True,0.3015792340546842,0.9999548498569609,1,0.01424702185144823,0.4281770988300921,1.0000000000001261,1,6,162,6
entecavir,True,0.1734466692264281,0.9999999574660081,1,0.014816948429850157,0.4281770988300921,1.0000000000000127,1,6,282,6
amcinonide,True,0.15678943579875482,0.9999999607185898,1,0.014892680648917309,0.4281770988300921,0.9999999999996271,1,6,312,6
sumatriptan,True,0.1447414417538252,0.9999999628510515,1,0.01494769656753659,0.4281770988300921,1.0000000000002378,1,6,338,6
nicotinamide,True,0.13367837659555737,0.9999999637582134,1,0.014998392876319676,0.4281770988300921,0.9999999999996206,1,6,366,6
midodrine,True,0.13223444077289545,0.999999963963087,1,0.015005022293196836,0.4281770988300921,0.9999999999999386,1,6,370,6
prazosin,True,0.12943812648488703,0.999999961258301,1,0.015017869058322414,0.4281770988300921,1.0000000000004106,1,6,378,6
dopamine,True,0.11432677228845892,0.9999999605560645,1,0.015087482939786304,0.4281770988300921,1.000000000000214,1,6,428,6
guanethidine,True,0.11121050573862117,0.9999999610824862,1,0.015101878629048649,0.4281770988300921,1.0000000000001588,1,6,440,6
mestranol,True,0.104560031518601,0.9999999652052165,1,0.0151326464553562,0.4281770988300921,0.9999999999990826,1,6,468,6
haloperidol,True,0.09095959561368509,0.9999999592231181,1,0.015195762196620236,0.4281770988300921,0.9999999999995168,1,6,538,6
riluzole,True,0.08769994388254142,0.9999999605165109,1,0.015210928232456502,0.4281770988300921,0.9999999999999895,1,6,558,6
testosterone,True,0.08408382894921088,0.9999999632518936,1,0.015227770418864696,0.4281770988300921,1.0000000000000822,1,6,582,6
enzalutamide,True,0.08322588494315093,0.9999999631361167,1,0.01523176905146348,0.4281770988300921,1.0000000000008218,1,6,588,6
paracetamol,True,0.08266357565085286,0.9999999658195403,1,0.015234390382613422,0.4281770988300921,0.9999999999992043,1,6,592,6
diltiazem,True,0.07792487848831224,0.9999999662099222,1,0.015256498755429644,0.4281770988300921,1.000000000000858,1,6,628,6
losartan,True,0.07551960300745444,0.9999999645942383,1,0.01526773279384049,0.4281770988300921,0.9999999999993137,1,6,648,6
estrone,True,0.07369962932532456,0.9999999595608114,1,0.015276238612881932,0.4281770988300921,0.9999999999998314,1,6,664,6
rosiglitazone,True,0.07112827217312145,0.9999999640457355,1,0.015288264148261912,0.4281770988300921,0.9999999999996451,1,6,688,6
flutamide,True,0.06666953186954803,0.9999999703426989,1,0.015309138841624766,0.4281770988300921,0.9999999999994101,1,6,734,6
axitinib,True,0.06455792071548976,0.9999999706032932,1,0.01531903478762136,0.4281770988300921,0.9999999999978804,1,6,758,6
RITA,True,0.05412661219661436,0.9999999732892992,1,0.015368014229891798,0.4281770988300921,0.9999999999992796,1,6,904,6
gatifloxacin,True,0.052839789308484236,0.9999999725810446,1,0.01537406722885065,0.4281770988300921,1.00000000000049,1,6,926,6
crizotinib,True,0.026027714882500254,0.9999999858197738,1,0.015500729547273795,0.4281770988300921,0.9999999999980178,1,6,1878,6
iloprost,True,0.2536187553332031,0.9999901647415993,1,0.0293957539466588,0.5324068150255642,1.000000000000298,1,5,163,5
urea,True,0.16617976253567515,0.9999999598217988,1,0.030022203675411144,0.5324068150255642,0.9999999999997867,1,5,249,5
propranolol,True,0.15977376024038645,0.9999999582704991,1,0.030068615882161517,0.5324068150255642,0.9999999999995324,1,5,259,5
