drug,approved,odds_ratio,pvalue,adj_pvalue,pvalue_up,adj_pvalue_up,pvalue_down,adj_pvalue_down,count_significant,count_insignificant,count_up_significant
vorinostat,True,0.43647704525197334,0.9999999517351083,1,1.3293993642378714e-18,7.59485856789096e-15,0.9999999999977267,1,59,6429,59
sirolimus,True,0.711215006651378,0.9973656316907772,1,9.212274243388228e-18,2.631486137623847e-14,0.9999999999937911,1,56,3758,56
everolimus,True,1.1439574093839928,0.2961265719414125,1,2.704487898458367e-09,1.9477371653816028e-06,1.0000000000011127,1,28,1180,28
mitoxantrone,True,0.3900656770686221,0.9999999813520372,1,3.338954541308926e-09,2.1194941438330995e-06,1.000000000009521,1,28,3452,28
troglitazone,True,0.5143971729236527,0.9999096481656421,1,1.0604146866275175e-07,4.6601146959253906e-05,1.0000000000025884,1,23,2161,23
tretinoin,True,1.0528237252581238,0.47884150421843297,1,3.837934836751749e-07,0.00013703826076476715,0.999999999999231,1,21,967,21
bortezomib,True,0.056003316505271024,0.9999999563731289,1,9.430764930772503e-07,0.0002993220002750184,0.9999999999977863,1,20,17002,20
belinostat,True,1.0945470402043234,0.43397347516110285,1,6.375461151373017e-06,0.0012727623746643523,0.9999999999985753,1,17,757,17
paclitaxel,True,0.8066634041955266,0.8679014593745098,1,6.683506255895426e-06,0.0012727623746643523,0.9999999999996814,1,17,1027,17
valproic-acid,True,0.7285743779178312,0.938392869503565,1,1.3643506446282504e-05,0.0022270100665031985,0.9999999999979823,1,16,1072,16
pazopanib,True,0.5384598626033674,0.998488770430906,1,1.4047212996200053e-05,0.002229214662424747,1.0000000000023417,1,16,1450,16
AZD-5363,True,0.8704222646982718,0.7769499714360012,1,2.694547665799102e-05,0.004160527247218992,1.000000000001469,1,15,843,15
fulvestrant,True,0.42702725726059876,0.9999748368129946,1,2.8707739579305456e-05,0.004205315800424925,0.9999999999988722,1,15,1717,15
estradiol,True,0.4986180157971448,0.9992331133894687,1,5.713056611549224e-05,0.007218813136212898,1.0000000000000993,1,14,1376,14
colchicine,True,1.8956620596127767,0.03216566302578511,1,9.687619525779433e-05,0.011069074070155581,1.000000000000256,1,13,337,13
docetaxel,True,0.8937747662264205,0.7369309937006838,1,0.00022098985872739398,0.022877172006909138,0.9999999999997538,1,12,662,12
pemetrexed,True,2.1498843660550566,0.02274049362867424,1,0.0003930229288570401,0.038056610043394404,0.9999999999995451,1,11,253,11
lapatinib,True,0.29219912233375595,1.0000000057086322,1,0.0004740654311699783,0.0423177470042826,0.9999999999988317,1,11,1861,11
cabazitaxel,True,1.5921289674869457,0.13413404449645983,1,0.0008455751061318967,0.06283879101659748,0.9999999999995002,1,10,312,10
