drug,approved,odds_ratio,pvalue,adj_pvalue,pvalue_up,adj_pvalue_up,pvalue_down,adj_pvalue_down,count_significant,count_insignificant,count_up_significant
bortezomib,True,0.003962551218077673,0.9999999797322403,1,1.4751395743940458e-21,1.4025627073338588e-18,1.0000000000998708,1,69,16953,69
colchicine,True,0.1652303196290806,0.9999999932915001,1,3.5333680072864767e-17,1.8664035007377678e-14,0.9999999999995696,1,49,301,49
vorinostat,True,0.007933808126354124,0.9999999728298914,1,3.64295438580868e-16,1.574418650012224e-13,1.0000000000038136,1,51,6437,51
paclitaxel,True,0.04468762236845489,1.0000000037605343,1,2.207565387805743e-14,8.072896810483462e-12,1.0000000000036082,1,44,1000,44
KX-2391,True,0.11182038385532538,0.9999999931821806,1,4.2576295737213544e-11,1.3183014815343073e-08,0.9999999999997142,1,32,292,32
sirolimus,True,0.00884153778722462,0.9999999919345233,1,1.012441887447035e-10,2.831263960543061e-08,0.9999999999927253,1,33,3781,33
docetaxel,True,0.04432716977826166,0.9999999964535724,1,2.0756657962985012e-09,4.4853250889104885e-07,0.999999999999372,1,28,646,28
vinblastine,True,0.12096754520210816,0.9999999938918736,1,3.4015190829403095e-09,6.737842383457597e-07,0.999999999999462,1,26,220,26
estradiol,True,0.018745429725271726,1.0000000274954974,1,2.3923825003716576e-08,3.921857381643745e-06,1.0000000000032565,1,25,1365,25
mebendazole,True,0.04627578308371616,0.9999999985390271,1,3.549017172372105e-08,5.442589560469996e-06,1.000000000001231,1,24,532,24
everolimus,True,0.017321264199538413,1.0000000069926684,1,8.127712534690544e-07,8.781623952254285e-05,1.0000000000003009,1,20,1188,20
pemetrexed,True,0.07116348491995816,0.999999993602546,1,4.4022175795451626e-06,0.0004360029661074521,0.9999999999995337,1,17,247,17
carbamazepine,True,0.028314245402786806,1.000000000648067,1,6.129771774435142e-06,0.0005828187003132933,1.0000000000002782,1,17,621,17
nimodipine,True,0.025009055097624334,1.0000000125274229,1,6.288180472344462e-06,0.0005861570581475602,1.0000000000007363,1,17,703,17
cabazitaxel,True,0.05072439948810185,0.9999999943008578,1,2.1687018047964833e-05,0.0018410729250004432,0.9999999999996365,1,15,307,15
albendazole,True,0.03630553811757909,0.999999994746535,1,2.389780137169443e-05,0.001993160486333953,0.999999999999925,1,15,429,15
lenalidomide,True,0.02234397369423872,0.9999999976477842,1,5.308936218255633e-05,0.003766967579341385,1.0000000000007712,1,14,652,14
mitoxantrone,True,0.0038883953641838916,0.9999999910421329,1,0.00011935503871528389,0.00799174442327408,1.000000000002881,1,13,3467,13
ingenol,True,0.06213275451743576,0.9999999889689002,1,0.00017620452136987214,0.011475017734142084,1.0000000000003877,1,12,202,12
valdecoxib,True,0.023788331910157643,1.0000000003512488,1,0.00021547673040406702,0.013478636530801771,1.0000000000024845,1,12,528,12
AZD-5363,True,0.014840665431457279,1.0000000110168767,1,0.00022582806164205463,0.013795950029220424,0.9999999999991267,1,12,846,12
amisulpride,True,0.08672062101084649,0.9999999946525602,1,0.000323269882308166,0.01874176854259782,1.0000000000000229,1,11,133,11
ingenol-mebutate,True,0.038639851961707064,0.9999999949496068,1,0.0004063501124254806,0.02178396043759027,0.9999999999995188,1,11,299,11
clozapine,True,0.02037931637399824,0.9999999976746758,1,0.00044317726188644824,0.021954409721297124,1.000000000001393,1,11,567,11
digitoxin,True,0.019617738329187857,0.9999999971020703,1,0.00044478335010752205,0.021954409721297124,1.0000000000002554,1,11,589,11
losartan,True,0.017969185727420938,0.9999999981269779,1,0.00044827987282311293,0.021954409721297124,0.9999999999995053,1,11,643,11
flutamide,True,0.015847573480276083,1.0000000123756576,1,0.00045282009445957394,0.021954409721297124,0.9999999999994019,1,11,729,11
olaparib,True,0.00529236355089699,1.0000000157468925,1,0.0009547108738416634,0.03814029827095183,0.9999999999996331,1,10,1988,10
vincristine,True,0.06955374281430526,0.9999999910017456,1,0.0015029795679230836,0.05905094930501106,0.999999999999995,1,9,137,9
