drug,l2s2_n_total,l2s2_n_signatures,l2s2_n_significant,l2s2_n_significant_mimic,l2s2_n_significant_general,l2s2_signatures,l2s2_mimic_signatures,l2s2_general_signatures,l2s2_n_sig_pval,l2s2_min_pvalue,l2s2_min_adj_pvalue,l2s2_min_pvalue_general,l2s2_min_adj_pvalue_general,l2s2_min_pvalue_up,l2s2_min_adj_pvalue_up,l2s2_mean_neglog10p,l2s2_max_neglog10p,l2s2_mean_odds_ratio,l2s2_max_odds_ratio,l2s2_direction,l2s2_retrieval_sort,l1k_n_total,l1k_n_signatures,l1k_signatures,l1k_mean_score,l1k_max_score,l1k_false_rescue,n_engines,n_total_signatures,regulatory_status,approved_jurisdiction,mechanism,target_axis,candidate_tier,lincs_eligible,lookup_source,mechanism_flag,firewall_status,firewall_reason,lincs_drug,signature_has_nominal_genes
sirolimus,13,5,1,4,2,GSE22206_case_v_control,GSE134780_HH_v_WT_fat;GSE22206_LCL_case_v_control;GSE22206_case_v_control;GSE22206_fibro_case_v_control,GSE134780_HL1002P_v_WT_fat;GSE22206_case_v_control,1,6.685510126033126e-07,9.14294157539015e-05,6.864188438675189e-11,1.106360086562183e-08,3.794116195671237e-17,1.079805469288034e-13,0.49,6.175,0.673,2.464,MIXED,"pvalue_up (mimic-sorted, default)",5,3,GSE134780_HH_v_WT_muscle;GSE134780_HL1002P_v_WT_fat;GSE134781_hetL1002P_v_WT,0.04522,0.0519,False,2,4,APPROVED_MEDICATION,FDA; EMA,mTORC1 inhibition; fly TOR-depletion / larval rapamycin rescued aneuploid neuroblast COUNTS (not brain size),MTORC1/autophagy via FKBP1A,Tier2-AUTOPHAGY,True,track2_candidates,mechanism_ok,WEAK,mixed_l2s2_directionality_reverse_and_mimic,sirolimus,True
dasatinib,10,4,1,2,0,GSE22206_case_v_control,GSE134780_HH_v_WT_fat;GSE22206_LCL_case_v_control,,1,9.690845394164226e-08,1.508096043581488e-05,0.0021578261881938,0.4317528746986188,6.5664553373986665e-21,3.18741671147264e-17,0.705,7.014,0.697,1.928,MIXED,"pvalue_up (mimic-sorted, default)",3,1,GSE22206_fibro_case_v_control,0.14983,0.1623,False,2,2,APPROVED_MEDICATION,FDA; EMA,Approved tyrosine-kinase inhibitor for Ph+ CML and ALL; used as the approved component of a dasatinib + quercetin senolytic adjunct,BCR-ABL / SRC / senolytic adjunct,Tier2-SENESCENCE (adjunct),True,track2_candidates,mechanism_ok,WEAK,mixed_l2s2_directionality_reverse_and_mimic,dasatinib,True
niclosamide,1,1,1,0,1,GSE22206_case_v_control,,GSE22206_case_v_control,1,8.941451739724977e-09,1.9215605572085157e-06,2.6635007471663414e-11,5.008491196650708e-09,0.9999999999997012,1.0,8.049,8.049,5.431,5.431,REVERSE,"pvalue_up (mimic-sorted, default)",16,2,GSE22206_LCL_case_v_control;GSE22206_case_v_control,0.09448,0.1392,False,2,3,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,niclosamide,True
afatinib,7,3,1,2,1,GSE22206_case_v_control,GSE134780_HH_v_WT_fat;GSE22206_LCL_case_v_control,GSE22206_case_v_control,1,3.7704328364119397e-14,2.430851912961012e-11,1.1794134994873364e-07,1.0945975058879976e-05,1.8795237890666248e-10,1.6787279976013406e-07,1.918,13.424,1.161,2.983,MIXED,"pvalue_up (mimic-sorted, default)",14,1,GSE22206_fibro_case_v_control,0.16444,0.1982,False,2,2,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; mixed_l2s2_directionality_reverse_and_mimic,afatinib,True
neratinib,4,2,1,0,1,GSE22206_case_v_control,,GSE22206_case_v_control,1,6.774856349024576e-11,2.3519174387036852e-08,8.228444281493455e-12,1.7683318591609502e-09,0.0076503877036401,0.3105094554827977,2.69,10.169,2.657,4.482,REVERSE,"pvalue_up (mimic-sorted, default)",1,1,GSE22206_fibro_case_v_control,0.1623,0.1623,False,2,2,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,neratinib,True
sorafenib,7,5,1,0,1,GSE22206_case_v_control,,GSE22206_case_v_control,1,1.256334119547039e-06,0.0001492062074083,0.0002392586033968,0.0114869582673411,0.0076941306505678,0.2620267381293468,0.859,5.901,0.745,2.35,REVERSE,"pvalue_up (mimic-sorted, default)",1,1,GSE134781_hetX753_v_WT,0.0219,0.0219,False,2,2,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,sorafenib,True
erlotinib,9,5,1,2,0,GSE22206_case_v_control,GSE134780_HH_v_WT_fat;GSE22206_LCL_case_v_control,,1,2.6046281155101053e-06,0.0002733648066348,0.0356131310415068,1.0,1.7677302554685483e-06,0.0008090470862471,0.636,5.584,0.487,1.694,MIXED,"pvalue_up (mimic-sorted, default)",7,1,GSE22206_fibro_case_v_control,0.14961,0.1558,False,2,2,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; mixed_l2s2_directionality_reverse_and_mimic,erlotinib,True
trichostatin a,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",65,7,GSE134780_HH_v_WT_fat;GSE134780_HH_v_WT_muscle;GSE134780_HL1002P_v_WT_fat;GSE134780_HL1002P_v_WT_muscle;GSE134781_hetL1002P_v_WT;GSE134781_hetX753_v_WT;GSE22206_LCL_case_v_control,0.04312,0.0888,False,1,7,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,trichostatin a,False
dl pdmp,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",14,6,GSE134780_HH_v_WT_fat;GSE134780_HH_v_WT_muscle;GSE134780_HL1002P_v_WT_fat;GSE22206_LCL_case_v_control;GSE22206_case_v_control;GSE22206_fibro_case_v_control,0.09994,0.1899,False,1,6,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,dl pdmp,False
tg101348,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",16,6,GSE134780_HH_v_WT_fat;GSE134780_HH_v_WT_muscle;GSE134780_HL1002P_v_WT_fat;GSE134780_HL1002P_v_WT_muscle;GSE22206_case_v_control;GSE22206_fibro_case_v_control,0.06786,0.1456,False,1,6,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,tg101348,False
