signature,size,up_fdr,up_nominal,down_fdr,down_nominal,has_nominal_genes
GSE134780_HH_v_WT_fat,100,100,0,100,0,false
GSE134780_HH_v_WT_fat,150,150,0,150,0,false
GSE134780_HH_v_WT_fat,250,250,0,250,0,false
GSE134780_HH_v_WT_muscle,100,7,93,3,97,true
GSE134780_HH_v_WT_muscle,150,7,143,3,147,true
GSE134780_HH_v_WT_muscle,250,7,243,3,247,true
GSE134780_HL1002P_v_WT_fat,100,100,0,100,0,false
GSE134780_HL1002P_v_WT_fat,150,150,0,150,0,false
GSE134780_HL1002P_v_WT_fat,250,250,0,250,0,false
GSE134780_HL1002P_v_WT_muscle,100,5,95,5,95,true
GSE134780_HL1002P_v_WT_muscle,150,5,145,5,145,true
GSE134780_HL1002P_v_WT_muscle,250,5,161,5,218,true
GSE134781_hetL1002P_v_WT,100,1,56,0,53,true
GSE134781_hetL1002P_v_WT,150,1,56,0,53,true
GSE134781_hetL1002P_v_WT,250,1,56,0,53,true
GSE134781_hetX753_v_WT,100,0,100,0,100,true
GSE134781_hetX753_v_WT,150,0,150,0,150,true
GSE134781_hetX753_v_WT,250,0,250,0,250,true
GSE22206_LCL_case_v_control,100,92,8,21,79,true
GSE22206_LCL_case_v_control,150,92,58,21,129,true
GSE22206_LCL_case_v_control,250,92,158,21,162,true
GSE22206_case_v_control,100,100,0,86,14,true
GSE22206_case_v_control,150,150,0,86,64,true
GSE22206_case_v_control,250,215,0,86,164,true
GSE22206_fibro_case_v_control,100,100,0,100,0,false
GSE22206_fibro_case_v_control,150,150,0,150,0,false
GSE22206_fibro_case_v_control,250,250,0,250,0,false
GSE247267_aneuploid_v_diploid,100,0,100,0,100,true
GSE247267_aneuploid_v_diploid,150,0,127,0,110,true
GSE247267_aneuploid_v_diploid,250,0,127,0,110,true
