"geo_accession","sample","condition","tissue","cell_line","cell_type","genotype","group","source"
"GSM7886351","X5_SS119","+chr 8","Retina","hTERT RPE1","epithelial cell","+chr 8","aneuploid","RPE1-hTERT"
"GSM7886358","X12_SS119","+chr 8","Retina","hTERT RPE1","epithelial cell","+chr 8","aneuploid","RPE1-hTERT"
"GSM7886366","X20_SS51","+chr 7; +chr 22","Retina","hTERT RPE1","epithelial cell","+chr 7; +chr 22","aneuploid","RPE1-hTERT"
"GSM7886359","X13_SS51","+chr 7; +chr 22","Retina","hTERT RPE1","epithelial cell","+chr 7; +chr 22","aneuploid","RPE1-hTERT"
"GSM7886364","X18_SS6","+chr 7","Retina","hTERT RPE1","epithelial cell","+chr 7","aneuploid","RPE1-hTERT"
"GSM7886356","X10_SS77","WT; p53 mutated","Retina","hTERT RPE1","epithelial cell","WT; p53 mutated","diploid","RPE1-hTERT"
"GSM7886361","X15_SS48","WT","Retina","hTERT RPE1","epithelial cell","WT","diploid","RPE1-hTERT"
"GSM7886347","X1_SS48","WT","Retina","hTERT RPE1","epithelial cell","WT","diploid","RPE1-hTERT"
"GSM7886349","X3_SS77","WT; p53 mutated","Retina","hTERT RPE1","epithelial cell","WT; p53 mutated","diploid","RPE1-hTERT"
"GSM7886348","X2_SS31","WT","Retina","hTERT RPE1","epithelial cell","WT","diploid","RPE1-hTERT"
"GSM7886352","X6_SS51","+chr 7; +chr 22","Retina","hTERT RPE1","epithelial cell","+chr 7; +chr 22","aneuploid","RPE1-hTERT"
"GSM7886357","X11_SS6","+chr 7","Retina","hTERT RPE1","epithelial cell","+chr 7","aneuploid","RPE1-hTERT"
"GSM7886363","X17_SS77","WT; p53 mutated","Retina","hTERT RPE1","epithelial cell","WT; p53 mutated","diploid","RPE1-hTERT"
"GSM7886362","X16_SS31","WT","Retina","hTERT RPE1","epithelial cell","WT","diploid","RPE1-hTERT"
"GSM7886353","X7_SS111","+chr 8; +chr 9; +chr18","Retina","hTERT RPE1","epithelial cell","+chr 8; +chr 9; +chr18","aneuploid","RPE1-hTERT"
"GSM7886350","X4_SS6","+chr 7","Retina","hTERT RPE1","epithelial cell","+chr 7","aneuploid","RPE1-hTERT"
"GSM7886367","X21_SS111","+chr 8; +chr 9; +chr18","Retina","hTERT RPE1","epithelial cell","+chr 8; +chr 9; +chr18","aneuploid","RPE1-hTERT"
"GSM7886354","X8_SS48","WT","Retina","hTERT RPE1","epithelial cell","WT","diploid","RPE1-hTERT"
"GSM7886355","X9_SS31","WT","Retina","hTERT RPE1","epithelial cell","WT","diploid","RPE1-hTERT"
"GSM7886365","X19_SS119","+chr 8","Retina","hTERT RPE1","epithelial cell","+chr 8","aneuploid","RPE1-hTERT"
"GSM7886360","X14_SS111","+chr 8; +chr 9; +chr18","Retina","hTERT RPE1","epithelial cell","+chr 8; +chr 9; +chr18","aneuploid","RPE1-hTERT"
